,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Unnamed: 9,Opposition,Ground,Start Date,Unnamed: 13
0,DNB,-,-,-,-,-,-,-,2,,v New Zealand,Dharamsala,16 Oct 2016,ODI # 3796
1,36,51,32,3,0,112.50,8,caught,2,,v New Zealand,Delhi,20 Oct 2016,ODI # 3797
2,DNB,-,-,-,-,-,-,-,2,,v New Zealand,Mohali,23 Oct 2016,ODI # 3798
3,9,18,13,0,0,69.23,8,caught,2,,v New Zealand,Ranchi,26 Oct 2016,ODI # 3799
4,40*,60,37,3,1,108.10,7,not out,2,,v England,Pune,15 Jan 2017,ODI # 3819
5,19*,23,9,2,1,211.11,7,not out,1,,v England,Cuttack,19 Jan 2017,ODI # 3821
6,56,67,43,4,2,130.23,7,bowled,2,,v England,Eden Gardens,22 Jan 2017,ODI # 3824
7,20*,8,6,0,3,333.33,5,not out,1,,v Pakistan,Birmingham,4 Jun 2017,ODI # 3878
8,9,8,5,0,1,180.00,6,caught,1,,v Sri Lanka,The Oval,8 Jun 2017,ODI # 3882
9,DNB,-,-,-,-,-,-,-,2,,v South Africa,The Oval,11 Jun 2017,ODI # 3886
10,DNB,-,-,-,-,-,-,-,2,,v Bangladesh,Birmingham,15 Jun 2017,ODI # 3891
11,76,46,43,4,6,176.74,7,run out,2,,v Pakistan,The Oval,18 Jun 2017,ODI # 3894
12,DNB,-,-,-,-,-,-,-,1,,v West Indies,Port of Spain,23 Jun 2017,ODI # 3895
13,4,-,5,0,0,80.00,4,caught,1,,v West Indies,Port of Spain,25 Jun 2017,ODI # 3896
14,DNB,-,-,-,-,-,-,-,1,,v West Indies,North Sound,30 Jun 2017,ODI # 3898
15,20,-,21,1,1,95.23,7,bowled,2,,v West Indies,North Sound,2 Jul 2017,ODI # 3900
16,DNB,-,-,-,-,-,-,-,2,,v West Indies,Kingston,6 Jul 2017,ODI # 3902
17,DNB,-,-,-,-,-,-,-,2,,v Sri Lanka,Dambulla,20 Aug 2017,ODI # 3905
18,0,-,3,0,0,0.00,7,stumped,2,,v Sri Lanka,Pallekele,24 Aug 2017,ODI # 3906
19,DNB,-,-,-,-,-,-,-,2,,v Sri Lanka,Pallekele,27 Aug 2017,ODI # 3907
20,19,-,18,1,1,105.55,4,caught,1,,v Sri Lanka,Colombo (RPS),31 Aug 2017,ODI # 3908
21,83,86,66,5,5,125.75,7,caught,1,,v Australia,Chennai,17 Sep 2017,ODI # 3910
22,20,56,26,2,0,76.92,7,caught,1,,v Australia,Eden Gardens,21 Sep 2017,ODI # 3912
23,78,98,72,5,4,108.33,4,caught,2,,v Australia,Indore,24 Sep 2017,ODI # 3914
24,41,64,40,1,3,102.50,4,caught,2,,v Australia,Bengaluru,28 Sep 2017,ODI # 3917
25,DNB,-,-,-,-,-,-,-,2,,v Australia,Nagpur,1 Oct 2017,ODI # 3919
26,16,18,16,1,1,100.00,7,caught,1,,v New Zealand,Wankhede,22 Oct 2017,ODI # 3928
27,30,48,31,2,1,96.77,5,caught,2,,v New Zealand,Pune,25 Oct 2017,ODI # 3931
28,8,9,6,1,0,133.33,4,caught,1,,v New Zealand,Kanpur,29 Oct 2017,ODI # 3932
29,10,11,10,2,0,100.00,7,caught,1,,v Sri Lanka,Dharamsala,10 Dec 2017,ODI # 3939
30,8,12,5,1,0,160.00,5,caught,1,,v Sri Lanka,Mohali,13 Dec 2017,ODI # 3941
31,DNB,-,-,-,-,-,-,-,2,,v Sri Lanka,Visakhapatnam,17 Dec 2017,ODI # 3942
32,3*,15,6,0,0,50.00,5,not out,2,,v South Africa,Durban,1 Feb 2018,ODI # 3969
33,DNB,-,-,-,-,-,-,-,2,,v South Africa,Centurion,4 Feb 2018,ODI # 3970
34,14,21,15,0,1,93.33,5,caught,1,,v South Africa,Cape Town,7 Feb 2018,ODI # 3971
35,9,17,13,1,0,69.23,7,caught,1,,v South Africa,Johannesburg,10 Feb 2018,ODI # 3973
36,0,1,1,0,0,0.00,6,caught,1,,v South Africa,Gqeberha,13 Feb 2018,ODI # 3976
37,DNB,-,-,-,-,-,-,-,2,,v South Africa,Centurion,16 Feb 2018,ODI # 3978
38,DNB,-,-,-,-,-,-,-,2,,v England,Nottingham,12 Jul 2018,ODI # 4014
39,21,-,22,1,0,95.45,7,caught,2,,v England,Lord's,14 Jul 2018,ODI # 4016
40,21,29,21,2,0,100.00,7,caught,1,,v England,Leeds,17 Jul 2018,ODI # 4018
41,DNB,-,-,-,-,-,-,-,2,,v Pakistan,Dubai (DSC),19 Sep 2018,ODI # 4040
42,DNB,-,-,-,-,-,-,-,2,,v New Zealand,Mount Maunganui,28 Jan 2019,ODI # 4088
43,16,37,20,4,0,80.00,7,caught,1,,v New Zealand,Hamilton,31 Jan 2019,ODI # 4091
44,45,27,22,2,5,204.54,8,caught,1,,v New Zealand,Wellington,3 Feb 2019,ODI # 4092
45,15*,8,7,3,0,214.28,6,not out,2,,v South Africa,Southampton,5 Jun 2019,ODI # 4150
46,48,41,27,4,3,177.77,4,caught,1,,v Australia,The Oval,9 Jun 2019,ODI # 4155
47,26,24,19,2,1,136.84,4,caught,1,,v Pakistan,Manchester,16 Jun 2019,ODI # 4161
48,7,23,9,0,0,77.77,7,caught,1,,v Afghanistan,Southampton,22 Jun 2019,ODI # 4169
49,46,48,38,5,0,121.05,7,caught,1,,v West Indies,Manchester,27 Jun 2019,ODI # 4175
50,45,49,33,4,0,136.36,5,caught,2,,v England,Birmingham,30 Jun 2019,ODI # 4179
51,0,4,2,0,0,0.00,5,caught,1,,v Bangladesh,Birmingham,2 Jul 2019,ODI # 4182
52,7*,8,4,1,0,175.00,5,not out,2,,v Sri Lanka,Leeds,6 Jul 2019,ODI # 4187
53,32,81,62,2,0,51.61,6,caught,2,,v New Zealand,Manchester,9 Jul 2019,ODI # 4190
54,90,-,76,7,4,118.42,6,caught,2,,v Australia,Sydney,27 Nov 2020,ODI # 4265
55,28,-,31,1,1,90.32,6,caught,2,,v Australia,Sydney,29 Nov 2020,ODI # 4266
56,92*,-,76,7,1,121.05,6,not out,1,,v Australia,Canberra,2 Dec 2020,ODI # 4267
57,1,13,9,0,0,11.11,6,caught,1,,v England,Pune,23 Mar 2021,ODI # 4281
58,35,30,16,1,4,218.75,6,caught,1,,v England,Pune,26 Mar 2021,ODI # 4283
59,64,63,44,5,4,145.45,6,bowled,1,,v England,Pune,28 Mar 2021,ODI # 4284
60,DNB,-,-,-,-,-,-,-,2,,v Sri Lanka,Colombo (RPS),18 Jul 2021,ODI # 4307
61,0,6,3,0,0,0.00,6,caught,2,,v Sri Lanka,Colombo (RPS),20 Jul 2021,ODI # 4309
62,19,18,17,3,0,111.76,6,lbw,1,,v Sri Lanka,Colombo (RPS),23 Jul 2021,ODI # 4312
63,DNB,-,-,-,-,-,-,-,2,,v England,The Oval,12 Jul 2022,ODI # 4424
64,29,68,44,2,0,65.90,6,caught,2,,v England,Lord's,14 Jul 2022,ODI # 4428
65,71,81,55,10,0,129.09,6,caught,2,,v England,Manchester,17 Jul 2022,ODI # 4433
66,14,17,12,0,1,116.66,6,caught,1,,v Sri Lanka,Guwahati,10 Jan 2023,ODI # 4501
67,36,86,53,4,0,67.92,6,caught,2,,v Sri Lanka,Eden Gardens,12 Jan 2023,ODI # 4503
68,28,56,38,3,0,73.68,6,bowled,1,,v New Zealand,Hyderabad,18 Jan 2023,ODI # 4507
69,DNB,-,-,-,-,-,-,-,2,,v New Zealand,Raipur,21 Jan 2023,ODI # 4509
70,54,55,38,3,3,142.10,6,caught,1,,v New Zealand,Indore,24 Jan 2023,ODI # 4511
71,25,48,31,3,1,80.64,6,caught,2,,v Australia,Wankhede,17 Mar 2023,ODI # 4538
72,1,3,3,0,0,33.33,6,caught,1,,v Australia,Visakhapatnam,19 Mar 2023,ODI # 4541
73,40,78,40,3,1,100.00,6,caught,2,,v Australia,Chennai,22 Mar 2023,ODI # 4545
74,5,10,7,0,0,71.42,4,run out,2,,v West Indies,Bridgetown,27 Jul 2023,ODI # 4622
75,7,21,14,0,0,50.00,5,caught,1,,v West Indies,Bridgetown,29 Jul 2023,ODI # 4623
76,70*,88,52,4,5,134.61,5,not out,1,,v West Indies,Tarouba,1 Aug 2023,ODI # 4624
77,87,122,90,7,1,96.66,6,caught,1,,v Pakistan,Pallekele,2 Sep 2023,ODI # 4630
78,DNB,-,-,-,-,-,-,-,2,,v Nepal,Pallekele,4 Sep 2023,ODI # 4632
79,DNB,-,-,-,-,-,-,-,1,,v Pakistan,Colombo (RPS),10 Sep 2023,ODI # 4639
80,5,26,18,0,0,27.77,6,caught,1,,v Sri Lanka,Colombo (RPS),12 Sep 2023,ODI # 4641
81,DNB,-,-,-,-,-,-,-,2,,v Sri Lanka,Colombo (RPS),17 Sep 2023,ODI # 4649
82,11*,17,8,0,1,137.50,6,not out,2,,v Australia,Chennai,8 Oct 2023,ODI # 4662
83,DNB,-,-,-,-,-,-,-,2,,v Afghanistan,Delhi,11 Oct 2023,ODI # 4666
84,DNB,-,-,-,-,-,-,-,2,,v Pakistan,Ahmedabad,14 Oct 2023,ODI # 4669
85,DNB,-,-,-,-,-,-,-,2,,v Bangladesh,Pune,19 Oct 2023,ODI # 4674
