,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Unnamed: 9,Opposition,Ground,Start Date,Unnamed: 13
0,DNB,-,-,-,-,-,-,-,2,,v Australia,Sydney,23 Jan 2016,ODI # 3727
1,DNB,-,-,-,-,-,-,-,2,,v Zimbabwe,Harare,11 Jun 2016,ODI # 3742
2,DNB,-,-,-,-,-,-,-,2,,v Zimbabwe,Harare,13 Jun 2016,ODI # 3744
3,DNB,-,-,-,-,-,-,-,2,,v Zimbabwe,Harare,15 Jun 2016,ODI # 3746
4,DNB,-,-,-,-,-,-,-,2,,v New Zealand,Dharamsala,16 Oct 2016,ODI # 3796
5,0,4,1,0,0,0.00,11,bowled,2,,v New Zealand,Delhi,20 Oct 2016,ODI # 3797
6,DNB,-,-,-,-,-,-,-,2,,v New Zealand,Mohali,23 Oct 2016,ODI # 3798
7,DNB,-,-,-,-,-,-,-,1,,v New Zealand,Visakhapatnam,29 Oct 2016,ODI # 3800
8,DNB,-,-,-,-,-,-,-,2,,v England,Pune,15 Jan 2017,ODI # 3819
9,DNB,-,-,-,-,-,-,-,1,,v England,Cuttack,19 Jan 2017,ODI # 3821
10,0*,2,0,0,0,-,11,not out,2,,v England,Eden Gardens,22 Jan 2017,ODI # 3824
11,DNB,-,-,-,-,-,-,-,1,,v Pakistan,Birmingham,4 Jun 2017,ODI # 3878
12,DNB,-,-,-,-,-,-,-,1,,v Sri Lanka,The Oval,8 Jun 2017,ODI # 3882
13,DNB,-,-,-,-,-,-,-,2,,v South Africa,The Oval,11 Jun 2017,ODI # 3886
14,DNB,-,-,-,-,-,-,-,2,,v Bangladesh,Birmingham,15 Jun 2017,ODI # 3891
15,1,10,9,0,0,11.11,11,caught,2,,v Pakistan,The Oval,18 Jun 2017,ODI # 3894
16,DNB,-,-,-,-,-,-,-,2,,v Sri Lanka,Dambulla,20 Aug 2017,ODI # 3905
17,DNB,-,-,-,-,-,-,-,2,,v Sri Lanka,Pallekele,24 Aug 2017,ODI # 3906
18,DNB,-,-,-,-,-,-,-,2,,v Sri Lanka,Pallekele,27 Aug 2017,ODI # 3907
19,DNB,-,-,-,-,-,-,-,1,,v Sri Lanka,Colombo (RPS),31 Aug 2017,ODI # 3908
20,DNB,-,-,-,-,-,-,-,2,,v Sri Lanka,Colombo (RPS),3 Sep 2017,ODI # 3909
21,DNB,-,-,-,-,-,-,-,1,,v Australia,Chennai,17 Sep 2017,ODI # 3910
22,10*,9,6,2,0,166.66,10,not out,1,,v Australia,Eden Gardens,21 Sep 2017,ODI # 3912
23,DNB,-,-,-,-,-,-,-,2,,v Australia,Indore,24 Sep 2017,ODI # 3914
24,DNB,-,-,-,-,-,-,-,2,,v Australia,Nagpur,1 Oct 2017,ODI # 3919
25,DNB,-,-,-,-,-,-,-,1,,v New Zealand,Wankhede,22 Oct 2017,ODI # 3928
26,DNB,-,-,-,-,-,-,-,2,,v New Zealand,Pune,25 Oct 2017,ODI # 3931
27,DNB,-,-,-,-,-,-,-,1,,v New Zealand,Kanpur,29 Oct 2017,ODI # 3932
28,0,38,15,0,0,0.00,10,bowled,1,,v Sri Lanka,Dharamsala,10 Dec 2017,ODI # 3939
29,DNB,-,-,-,-,-,-,-,1,,v Sri Lanka,Mohali,13 Dec 2017,ODI # 3941
30,DNB,-,-,-,-,-,-,-,2,,v Sri Lanka,Visakhapatnam,17 Dec 2017,ODI # 3942
31,DNB,-,-,-,-,-,-,-,2,,v South Africa,Durban,1 Feb 2018,ODI # 3969
32,DNB,-,-,-,-,-,-,-,2,,v South Africa,Centurion,4 Feb 2018,ODI # 3970
33,DNB,-,-,-,-,-,-,-,1,,v South Africa,Cape Town,7 Feb 2018,ODI # 3971
34,DNB,-,-,-,-,-,-,-,1,,v South Africa,Johannesburg,10 Feb 2018,ODI # 3973
35,DNB,-,-,-,-,-,-,-,1,,v South Africa,Gqeberha,13 Feb 2018,ODI # 3976
36,DNB,-,-,-,-,-,-,-,2,,v South Africa,Centurion,16 Feb 2018,ODI # 3978
37,DNB,-,-,-,-,-,-,-,2,,v Pakistan,Dubai (DSC),19 Sep 2018,ODI # 4040
38,DNB,-,-,-,-,-,-,-,2,,v Bangladesh,Dubai (DSC),21 Sep 2018,ODI # 4042
39,DNB,-,-,-,-,-,-,-,2,,v Pakistan,Dubai (DSC),23 Sep 2018,ODI # 4044
40,DNB,-,-,-,-,-,-,-,2,,v Bangladesh,Dubai (DSC),28 Sep 2018,ODI # 4048
41,0,-,3,0,0,0.00,11,caught,2,,v West Indies,Pune,27 Oct 2018,ODI # 4062
42,DNB,-,-,-,-,-,-,-,1,,v West Indies,Brabourne,29 Oct 2018,ODI # 4063
43,DNB,-,-,-,-,-,-,-,2,,v West Indies,Thiruvananthapuram,1 Nov 2018,ODI # 4064
44,DNB,-,-,-,-,-,-,-,2,,v Australia,Hyderabad,2 Mar 2019,ODI # 4102
45,0,-,2,0,0,0.00,11,bowled,1,,v Australia,Nagpur,5 Mar 2019,ODI # 4106
46,0*,-,1,0,0,0.00,11,not out,2,,v Australia,Ranchi,8 Mar 2019,ODI # 4109
47,6*,-,1,0,1,600.00,11,not out,1,,v Australia,Mohali,10 Mar 2019,ODI # 4111
48,1*,-,4,0,0,25.00,11,not out,2,,v Australia,Delhi,13 Mar 2019,ODI # 4113
49,DNB,-,-,-,-,-,-,-,2,,v South Africa,Southampton,5 Jun 2019,ODI # 4150
50,DNB,-,-,-,-,-,-,-,1,,v Australia,The Oval,9 Jun 2019,ODI # 4155
51,DNB,-,-,-,-,-,-,-,1,,v Pakistan,Manchester,16 Jun 2019,ODI # 4161
52,1*,2,1,0,0,100.00,10,not out,1,,v Afghanistan,Southampton,22 Jun 2019,ODI # 4169
53,DNB,-,-,-,-,-,-,-,1,,v West Indies,Manchester,27 Jun 2019,ODI # 4175
54,DNB,-,-,-,-,-,-,-,2,,v England,Birmingham,30 Jun 2019,ODI # 4179
55,0*,1,0,0,0,-,10,not out,1,,v Bangladesh,Birmingham,2 Jul 2019,ODI # 4182
56,DNB,-,-,-,-,-,-,-,2,,v Sri Lanka,Leeds,6 Jul 2019,ODI # 4187
57,0*,4,0,0,0,-,11,not out,2,,v New Zealand,Manchester,9 Jul 2019,ODI # 4190
58,0*,-,0,0,0,-,11,not out,1,,v Australia,Wankhede,14 Jan 2020,ODI # 4231
59,DNB,-,-,-,-,-,-,-,1,,v Australia,Rajkot,17 Jan 2020,ODI # 4232
60,DNB,-,-,-,-,-,-,-,2,,v Australia,Bengaluru,19 Jan 2020,ODI # 4233
61,DNB,-,-,-,-,-,-,-,1,,v New Zealand,Hamilton,5 Feb 2020,ODI # 4235
62,0*,3,1,0,0,0.00,11,not out,2,,v New Zealand,Auckland,8 Feb 2020,ODI # 4239
63,DNB,-,-,-,-,-,-,-,1,,v New Zealand,Mount Maunganui,11 Feb 2020,ODI # 4243
64,0*,-,3,0,0,0.00,10,not out,2,,v Australia,Sydney,27 Nov 2020,ODI # 4265
65,0,-,2,0,0,0.00,10,lbw,2,,v Australia,Sydney,29 Nov 2020,ODI # 4266
66,DNB,-,-,-,-,-,-,-,1,,v Australia,Canberra,2 Dec 2020,ODI # 4267
67,14*,33,23,1,0,60.86,10,not out,2,,v South Africa,Paarl,19 Jan 2022,ODI # 4344
68,DNB,-,-,-,-,-,-,-,1,,v South Africa,Paarl,21 Jan 2022,ODI # 4346
69,12,39,15,2,0,80.00,9,caught,2,,v South Africa,Cape Town,23 Jan 2022,ODI # 4349
70,DNB,-,-,-,-,-,-,-,2,,v England,The Oval,12 Jul 2022,ODI # 4424
71,2*,15,6,0,0,33.33,9,not out,2,,v England,Lord's,14 Jul 2022,ODI # 4428
72,16,23,14,3,0,114.28,10,caught,1,,v Pakistan,Pallekele,2 Sep 2023,ODI # 4630
73,DNB,-,-,-,-,-,-,-,1,,v Pakistan,Colombo (RPS),10 Sep 2023,ODI # 4639
74,5,13,12,0,0,41.66,9,bowled,1,,v Sri Lanka,Colombo (RPS),12 Sep 2023,ODI # 4641
75,DNB,-,-,-,-,-,-,-,2,,v Sri Lanka,Colombo (RPS),17 Sep 2023,ODI # 4649
76,DNB,-,-,-,-,-,-,-,2,,v Australia,Mohali,22 Sep 2023,ODI # 4651
77,5,14,11,1,0,45.45,9,caught,2,,v Australia,Rajkot,27 Sep 2023,ODI # 4657
78,DNB,-,-,-,-,-,-,-,2,,v Australia,Chennai,8 Oct 2023,ODI # 4662
79,DNB,-,-,-,-,-,-,-,2,,v Afghanistan,Delhi,11 Oct 2023,ODI # 4666
80,DNB,-,-,-,-,-,-,-,2,,v Pakistan,Ahmedabad,14 Oct 2023,ODI # 4669
81,DNB,-,-,-,-,-,-,-,2,,v Bangladesh,Pune,19 Oct 2023,ODI # 4674
82,DNB,-,-,-,-,-,-,-,2,,v New Zealand,Dharamsala,22 Oct 2023,ODI # 4678
83,16,44,25,1,0,64.00,9,run out,1,,v England,Lucknow,29 Oct 2023,ODI # 4686
84,1*,1,1,0,0,100.00,9,not out,1,,v Sri Lanka,Wankhede,2 Nov 2023,ODI # 4690
85,DNB,-,-,-,-,-,-,-,1,,v South Africa,Eden Gardens,5 Nov 2023,ODI # 4694
86,DNB,-,-,-,-,-,-,-,1,,v Netherlands,Bengaluru,12 Nov 2023,ODI # 4702
87,DNB,-,-,-,-,-,-,-,1,,v New Zealand,Wankhede,15 Nov 2023,ODI # 4703
88,1,5,3,0,0,33.33,9,lbw,1,,v Australia,Ahmedabad,19 Nov 2023,ODI # 4705
