,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Unnamed: 9,Opposition,Ground,Start Date,Unnamed: 13
0,100*,176,115,7,1,86.95,1,not out,2,,v Zimbabwe,Harare,11 Jun 2016,ODI # 3742
1,33,66,50,4,0,66.00,1,bowled,2,,v Zimbabwe,Harare,13 Jun 2016,ODI # 3744
2,63*,99,70,4,2,90.00,1,not out,2,,v Zimbabwe,Harare,15 Jun 2016,ODI # 3746
3,8,28,18,1,0,44.44,1,bowled,2,,v England,Pune,15 Jan 2017,ODI # 3819
4,5,11,5,1,0,100.00,1,caught,1,,v England,Cuttack,19 Jan 2017,ODI # 3821
5,11,28,11,1,1,100.00,2,caught,2,,v England,Eden Gardens,22 Jan 2017,ODI # 3824
6,DNB,-,-,-,-,-,-,-,2,,v Sri Lanka,Dambulla,20 Aug 2017,ODI # 3905
7,4,-,6,0,0,66.66,3,bowled,2,,v Sri Lanka,Pallekele,24 Aug 2017,ODI # 3906
8,17,-,24,2,0,70.83,4,caught,2,,v Sri Lanka,Pallekele,27 Aug 2017,ODI # 3907
9,7,-,8,0,0,87.50,5,caught,1,,v Sri Lanka,Colombo (RPS),31 Aug 2017,ODI # 3908
10,9*,-,18,0,0,50.00,4,not out,2,,v England,Nottingham,12 Jul 2018,ODI # 4014
11,0,-,2,0,0,0.00,4,caught,2,,v England,Lord's,14 Jul 2018,ODI # 4016
12,60,-,66,5,1,90.90,1,lbw,2,,v Afghanistan,Dubai (DSC),25 Sep 2018,ODI # 4046
13,26,-,31,1,0,83.87,3,caught,1,,v Australia,Mohali,10 Mar 2019,ODI # 4111
14,26,71,42,2,0,61.90,4,caught,2,,v South Africa,Southampton,5 Jun 2019,ODI # 4150
15,11*,6,3,1,1,366.66,6,not out,1,,v Australia,The Oval,9 Jun 2019,ODI # 4155
16,57,94,78,3,2,73.07,1,caught,1,,v Pakistan,Manchester,16 Jun 2019,ODI # 4161
17,30,56,53,2,0,56.60,1,caught,1,,v Afghanistan,Southampton,22 Jun 2019,ODI # 4169
18,48,91,64,6,0,75.00,1,bowled,1,,v West Indies,Manchester,27 Jun 2019,ODI # 4175
19,0,10,9,0,0,0.00,1,caught,2,,v England,Birmingham,30 Jun 2019,ODI # 4179
20,77,135,92,6,1,83.69,1,caught,1,,v Bangladesh,Birmingham,2 Jul 2019,ODI # 4182
