,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Unnamed: 9,Opposition,Ground,Start Date,Unnamed: 13
0,DNB,-,-,-,-,-,-,-,1,,v West Indies,Port of Spain,23 Jun 2017,ODI # 3895
1,DNB,-,-,-,-,-,-,-,1,,v West Indies,Port of Spain,25 Jun 2017,ODI # 3896
2,DNB,-,-,-,-,-,-,-,1,,v West Indies,North Sound,30 Jun 2017,ODI # 3898
3,2*,-,6,0,0,33.33,9,not out,2,,v West Indies,North Sound,2 Jul 2017,ODI # 3900
4,DNB,-,-,-,-,-,-,-,2,,v West Indies,Kingston,6 Jul 2017,ODI # 3902
5,DNB,-,-,-,-,-,-,-,1,,v Sri Lanka,Colombo (RPS),31 Aug 2017,ODI # 3908
6,DNB,-,-,-,-,-,-,-,2,,v Sri Lanka,Colombo (RPS),3 Sep 2017,ODI # 3909
7,0*,2,0,0,0,-,9,not out,1,,v Australia,Chennai,17 Sep 2017,ODI # 3910
8,0,1,2,0,0,0.00,9,caught,1,,v Australia,Eden Gardens,21 Sep 2017,ODI # 3912
9,DNB,-,-,-,-,-,-,-,2,,v Australia,Indore,24 Sep 2017,ODI # 3914
10,DNB,-,-,-,-,-,-,-,2,,v Australia,Nagpur,1 Oct 2017,ODI # 3919
11,0*,3,0,0,0,-,9,not out,1,,v New Zealand,Wankhede,22 Oct 2017,ODI # 3928
12,19,44,25,4,0,76.00,9,stumped,1,,v Sri Lanka,Dharamsala,10 Dec 2017,ODI # 3939
13,DNB,-,-,-,-,-,-,-,2,,v Sri Lanka,Visakhapatnam,17 Dec 2017,ODI # 3942
14,DNB,-,-,-,-,-,-,-,2,,v South Africa,Durban,1 Feb 2018,ODI # 3969
15,DNB,-,-,-,-,-,-,-,2,,v South Africa,Centurion,4 Feb 2018,ODI # 3970
16,DNB,-,-,-,-,-,-,-,1,,v South Africa,Cape Town,7 Feb 2018,ODI # 3971
17,0*,3,0,0,0,-,9,not out,1,,v South Africa,Johannesburg,10 Feb 2018,ODI # 3973
18,2*,7,4,0,0,50.00,9,not out,1,,v South Africa,Gqeberha,13 Feb 2018,ODI # 3976
19,DNB,-,-,-,-,-,-,-,2,,v South Africa,Centurion,16 Feb 2018,ODI # 3978
20,DNB,-,-,-,-,-,-,-,2,,v England,Nottingham,12 Jul 2018,ODI # 4014
21,8*,-,26,0,0,30.76,9,not out,2,,v England,Lord's,14 Jul 2018,ODI # 4016
22,DNB,-,-,-,-,-,-,-,1,,v England,Leeds,17 Jul 2018,ODI # 4018
23,0*,-,0,0,0,-,9,not out,1,,v Hong Kong,Dubai (DSC),18 Sep 2018,ODI # 4039
24,DNB,-,-,-,-,-,-,-,2,,v Pakistan,Dubai (DSC),19 Sep 2018,ODI # 4040
25,DNB,-,-,-,-,-,-,-,2,,v Bangladesh,Dubai (DSC),21 Sep 2018,ODI # 4042
26,DNB,-,-,-,-,-,-,-,2,,v Pakistan,Dubai (DSC),23 Sep 2018,ODI # 4044
27,9,-,11,0,0,81.81,9,run out,2,,v Afghanistan,Dubai (DSC),25 Sep 2018,ODI # 4046
28,5*,-,5,0,0,100.00,9,not out,2,,v Bangladesh,Dubai (DSC),28 Sep 2018,ODI # 4048
29,DNB,-,-,-,-,-,-,-,1,,v West Indies,Visakhapatnam,24 Oct 2018,ODI # 4059
30,15*,-,21,1,0,71.42,8,not out,2,,v West Indies,Pune,27 Oct 2018,ODI # 4062
31,DNB,-,-,-,-,-,-,-,1,,v West Indies,Brabourne,29 Oct 2018,ODI # 4063
32,DNB,-,-,-,-,-,-,-,2,,v West Indies,Thiruvananthapuram,1 Nov 2018,ODI # 4064
33,3,14,6,0,0,50.00,9,caught,2,,v Australia,Sydney,12 Jan 2019,ODI # 4077
34,DNB,-,-,-,-,-,-,-,2,,v Australia,Adelaide,15 Jan 2019,ODI # 4078
35,DNB,-,-,-,-,-,-,-,2,,v New Zealand,Napier,23 Jan 2019,ODI # 4082
36,DNB,-,-,-,-,-,-,-,1,,v New Zealand,Mount Maunganui,26 Jan 2019,ODI # 4085
37,DNB,-,-,-,-,-,-,-,2,,v New Zealand,Mount Maunganui,28 Jan 2019,ODI # 4088
38,15,47,33,1,0,45.45,9,caught,1,,v New Zealand,Hamilton,31 Jan 2019,ODI # 4091
39,DNB,-,-,-,-,-,-,-,2,,v Australia,Hyderabad,2 Mar 2019,ODI # 4102
40,3,-,3,0,0,100.00,9,bowled,1,,v Australia,Nagpur,5 Mar 2019,ODI # 4106
41,10,-,16,1,0,62.50,9,caught,2,,v Australia,Ranchi,8 Mar 2019,ODI # 4109
42,1*,-,1,0,0,100.00,9,not out,1,,v Australia,Mohali,10 Mar 2019,ODI # 4111
43,8,-,12,1,0,66.66,10,bowled,2,,v Australia,Delhi,13 Mar 2019,ODI # 4113
44,DNB,-,-,-,-,-,-,-,2,,v South Africa,Southampton,5 Jun 2019,ODI # 4150
45,DNB,-,-,-,-,-,-,-,1,,v Australia,The Oval,9 Jun 2019,ODI # 4155
46,DNB,-,-,-,-,-,-,-,1,,v Pakistan,Manchester,16 Jun 2019,ODI # 4161
47,1*,4,1,0,0,100.00,9,not out,1,,v Afghanistan,Southampton,22 Jun 2019,ODI # 4169
48,0*,7,1,0,0,0.00,9,not out,1,,v West Indies,Manchester,27 Jun 2019,ODI # 4175
49,DNB,-,-,-,-,-,-,-,2,,v England,Birmingham,30 Jun 2019,ODI # 4179
50,DNB,-,-,-,-,-,-,-,2,,v Sri Lanka,Leeds,6 Jul 2019,ODI # 4187
51,TDNB,-,-,-,-,-,-,-,-,,v West Indies,Providence,8 Aug 2019,ODI # 4196
52,DNB,-,-,-,-,-,-,-,1,,v West Indies,Port of Spain,11 Aug 2019,ODI # 4197
53,DNB,-,-,-,-,-,-,-,1,,v West Indies,Chennai,15 Dec 2019,ODI # 4221
54,DNB,-,-,-,-,-,-,-,1,,v West Indies,Visakhapatnam,18 Dec 2019,ODI # 4222
55,DNB,-,-,-,-,-,-,-,2,,v West Indies,Cuttack,22 Dec 2019,ODI # 4223
56,17,-,15,2,0,113.33,10,run out,1,,v Australia,Wankhede,14 Jan 2020,ODI # 4231
57,DNB,-,-,-,-,-,-,-,1,,v Australia,Rajkot,17 Jan 2020,ODI # 4232
58,DNB,-,-,-,-,-,-,-,2,,v Australia,Bengaluru,19 Jan 2020,ODI # 4233
59,DNB,-,-,-,-,-,-,-,1,,v New Zealand,Hamilton,5 Feb 2020,ODI # 4235
60,DNB,-,-,-,-,-,-,-,1,,v Australia,Canberra,2 Dec 2020,ODI # 4267
61,DNB,-,-,-,-,-,-,-,1,,v England,Pune,23 Mar 2021,ODI # 4281
62,DNB,-,-,-,-,-,-,-,1,,v England,Pune,26 Mar 2021,ODI # 4283
63,DNB,-,-,-,-,-,-,-,2,,v Sri Lanka,Colombo (RPS),18 Jul 2021,ODI # 4307
64,DNB,-,-,-,-,-,-,-,2,,v Sri Lanka,Colombo (RPS),20 Jul 2021,ODI # 4309
65,5,11,8,0,0,62.50,9,caught,1,,v West Indies,Ahmedabad,11 Feb 2022,ODI # 4356
66,DNB,-,-,-,-,-,-,-,2,,v Zimbabwe,Harare,18 Aug 2022,ODI # 4451
67,DNB,-,-,-,-,-,-,-,2,,v Zimbabwe,Harare,20 Aug 2022,ODI # 4454
68,2*,2,2,0,0,100.00,10,not out,1,,v Zimbabwe,Harare,22 Aug 2022,ODI # 4457
69,0,3,1,0,0,0.00,8,caught,2,,v South Africa,Lucknow,6 Oct 2022,ODI # 4470
70,DNB,-,-,-,-,-,-,-,2,,v South Africa,Ranchi,9 Oct 2022,ODI # 4471
71,DNB,-,-,-,-,-,-,-,2,,v South Africa,Delhi,11 Oct 2022,ODI # 4472
72,3*,8,3,0,0,100.00,9,not out,1,,v Bangladesh,Chattogram,10 Dec 2022,ODI # 4499
73,10*,22,10,2,0,100.00,8,not out,2,,v Sri Lanka,Eden Gardens,12 Jan 2023,ODI # 4503
74,DNB,-,-,-,-,-,-,-,1,,v Sri Lanka,Thiruvananthapuram,15 Jan 2023,ODI # 4505
75,5*,18,6,0,0,83.33,9,not out,1,,v New Zealand,Hyderabad,18 Jan 2023,ODI # 4507
76,DNB,-,-,-,-,-,-,-,2,,v New Zealand,Raipur,21 Jan 2023,ODI # 4509
77,3,11,3,0,0,100.00,9,run out,1,,v New Zealand,Indore,24 Jan 2023,ODI # 4511
78,DNB,-,-,-,-,-,-,-,2,,v Australia,Wankhede,17 Mar 2023,ODI # 4538
79,4,21,17,0,0,23.52,9,caught,1,,v Australia,Visakhapatnam,19 Mar 2023,ODI # 4541
80,6,33,15,0,0,40.00,9,run out,2,,v Australia,Chennai,22 Mar 2023,ODI # 4545
81,DNB,-,-,-,-,-,-,-,2,,v West Indies,Bridgetown,27 Jul 2023,ODI # 4622
82,8*,36,23,1,0,34.78,9,not out,1,,v West Indies,Bridgetown,29 Jul 2023,ODI # 4623
83,DNB,-,-,-,-,-,-,-,1,,v West Indies,Tarouba,1 Aug 2023,ODI # 4624
