,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Unnamed: 9,Opposition,Ground,Start Date,Unnamed: 13
0,0*,8,5,0,0,0.00,11,not out,1,,v Pakistan,Delhi,6 Jan 2013,ODI # 3316
1,DNB,-,-,-,-,-,-,-,1,,v England,Kochi,15 Jan 2013,ODI # 3320
2,DNB,-,-,-,-,-,-,-,2,,v England,Ranchi,19 Jan 2013,ODI # 3322
3,DNB,-,-,-,-,-,-,-,2,,v England,Mohali,23 Jan 2013,ODI # 3327
4,1,12,6,0,0,16.66,10,caught,1,,v England,Dharamsala,27 Jan 2013,ODI # 3329
5,0,2,1,0,0,0.00,9,bowled,2,,v Sri Lanka,Kingston,2 Jul 2013,ODI # 3382
6,DNB,-,-,-,-,-,-,-,2,,v Zimbabwe,Harare,24 Jul 2013,ODI # 3395
7,6*,3,1,0,1,600.00,10,not out,1,,v Zimbabwe,Harare,26 Jul 2013,ODI # 3397
8,DNB,-,-,-,-,-,-,-,2,,v Zimbabwe,Harare,28 Jul 2013,ODI # 3399
9,DNB,-,-,-,-,-,-,-,2,,v Zimbabwe,Bulawayo,1 Aug 2013,ODI # 3402
10,DNB,-,-,-,-,-,-,-,2,,v Zimbabwe,Bulawayo,3 Aug 2013,ODI # 3403
11,DNB,-,-,-,-,-,-,-,2,,v Australia,Ranchi,23 Oct 2013,ODI # 3422
12,DNB,-,-,-,-,-,-,-,2,,v Australia,Nagpur,30 Oct 2013,ODI # 3424
13,DNB,-,-,-,-,-,-,-,1,,v Australia,Bengaluru,2 Nov 2013,ODI # 3428
14,DNB,-,-,-,-,-,-,-,2,,v West Indies,Kochi,21 Nov 2013,ODI # 3436
15,DNB,-,-,-,-,-,-,-,1,,v West Indies,Visakhapatnam,24 Nov 2013,ODI # 3437
16,DNB,-,-,-,-,-,-,-,2,,v West Indies,Kanpur,27 Nov 2013,ODI # 3439
17,0,3,4,0,0,0.00,11,caught,2,,v South Africa,Johannesburg,5 Dec 2013,ODI # 3442
18,8,21,14,0,0,57.14,9,bowled,2,,v South Africa,Durban,8 Dec 2013,ODI # 3443
19,TDNB,-,-,-,-,-,-,-,-,,v South Africa,Centurion,11 Dec 2013,ODI # 3444
20,7*,4,4,1,0,175.00,11,not out,2,,v New Zealand,Napier,19 Jan 2014,ODI # 3456
21,1*,5,1,0,0,100.00,10,not out,2,,v New Zealand,Hamilton,22 Jan 2014,ODI # 3458
22,2,11,7,0,0,28.57,10,caught,2,,v New Zealand,Auckland,25 Jan 2014,ODI # 3462
23,DNB,-,-,-,-,-,-,-,1,,v New Zealand,Hamilton,28 Jan 2014,ODI # 3465
24,14*,25,15,0,1,93.33,10,not out,2,,v New Zealand,Wellington,31 Jan 2014,ODI # 3467
25,DNB,-,-,-,-,-,-,-,2,,v Bangladesh,Fatullah,26 Feb 2014,ODI # 3474
26,14*,7,7,0,2,200.00,11,not out,1,,v Sri Lanka,Fatullah,28 Feb 2014,ODI # 3476
27,0,1,3,0,0,0.00,9,caught,1,,v Pakistan,Mirpur,2 Mar 2014,ODI # 3479
28,DNB,-,-,-,-,-,-,-,2,,v Afghanistan,Mirpur,5 Mar 2014,ODI # 3483
29,DNB,-,-,-,-,-,-,-,1,,v England,Cardiff,27 Aug 2014,ODI # 3517
30,DNB,-,-,-,-,-,-,-,2,,v England,Nottingham,30 Aug 2014,ODI # 3520
31,DNB,-,-,-,-,-,-,-,2,,v England,Birmingham,2 Sep 2014,ODI # 3523
32,0,2,2,0,0,0.00,10,caught,2,,v England,Leeds,5 Sep 2014,ODI # 3525
33,19,26,17,2,1,111.76,11,bowled,2,,v West Indies,Kochi,8 Oct 2014,ODI # 3531
34,1*,6,1,0,0,100.00,9,not out,1,,v West Indies,Delhi,11 Oct 2014,ODI # 3533
35,DNB,-,-,-,-,-,-,-,1,,v West Indies,Dharamsala,17 Oct 2014,ODI # 3535
36,2*,5,3,0,0,66.66,10,not out,1,,v Australia,Melbourne,18 Jan 2015,ODI # 3582
37,1,13,7,0,0,14.28,10,caught,1,,v England,Brisbane,20 Jan 2015,ODI # 3586
38,DNB,-,-,-,-,-,-,-,1,,v Australia,Sydney,26 Jan 2015,ODI # 3592
39,25,18,18,3,1,138.88,11,caught,1,,v England,Perth,30 Jan 2015,ODI # 3595
40,3*,2,3,0,0,100.00,9,not out,1,,v Pakistan,Adelaide,15 Feb 2015,ODI # 3602
41,4*,5,5,1,0,80.00,9,not out,1,,v South Africa,Melbourne,22 Feb 2015,ODI # 3610
42,DNB,-,-,-,-,-,-,-,2,,v West Indies,Perth,6 Mar 2015,ODI # 3625
43,DNB,-,-,-,-,-,-,-,2,,v Ireland,Hamilton,10 Mar 2015,ODI # 3631
44,DNB,-,-,-,-,-,-,-,2,,v Zimbabwe,Auckland,14 Mar 2015,ODI # 3636
45,DNB,-,-,-,-,-,-,-,1,,v Bangladesh,Melbourne,19 Mar 2015,ODI # 3641
46,1*,11,1,0,0,100.00,9,not out,2,,v Australia,Sydney,26 Mar 2015,ODI # 3645
47,1,-,2,0,0,50.00,11,caught,2,,v West Indies,North Sound,2 Jul 2017,ODI # 3900
48,DNB,-,-,-,-,-,-,-,2,,v West Indies,Kingston,6 Jul 2017,ODI # 3902
49,6*,10,6,1,0,100.00,9,not out,2,,v Australia,Bengaluru,28 Sep 2017,ODI # 3917
50,DNB,-,-,-,-,-,-,-,2,,v West Indies,Guwahati,21 Oct 2018,ODI # 4056
51,0*,6,1,0,0,0.00,8,not out,1,,v West Indies,Visakhapatnam,24 Oct 2018,ODI # 4059
52,1,4,2,0,0,50.00,10,caught,2,,v Australia,Sydney,12 Jan 2019,ODI # 4077
53,DNB,-,-,-,-,-,-,-,2,,v Australia,Adelaide,15 Jan 2019,ODI # 4078
54,DNB,-,-,-,-,-,-,-,2,,v Australia,Melbourne,18 Jan 2019,ODI # 4079
55,DNB,-,-,-,-,-,-,-,2,,v New Zealand,Napier,23 Jan 2019,ODI # 4082
56,DNB,-,-,-,-,-,-,-,1,,v New Zealand,Mount Maunganui,26 Jan 2019,ODI # 4085
57,DNB,-,-,-,-,-,-,-,2,,v New Zealand,Mount Maunganui,28 Jan 2019,ODI # 4088
58,1,4,1,0,0,100.00,10,run out,1,,v New Zealand,Wellington,3 Feb 2019,ODI # 4092
59,DNB,-,-,-,-,-,-,-,2,,v Australia,Hyderabad,2 Mar 2019,ODI # 4102
60,2*,-,4,0,0,50.00,10,not out,1,,v Australia,Nagpur,5 Mar 2019,ODI # 4106
61,8,-,4,2,0,200.00,10,caught,2,,v Australia,Ranchi,8 Mar 2019,ODI # 4109
62,3,-,7,0,0,42.85,9,caught,2,,v Australia,Delhi,13 Mar 2019,ODI # 4113
63,1,7,2,0,0,50.00,8,bowled,1,,v Afghanistan,Southampton,22 Jun 2019,ODI # 4169
64,0,4,2,0,0,0.00,8,caught,1,,v West Indies,Manchester,27 Jun 2019,ODI # 4175
65,DNB,-,-,-,-,-,-,-,2,,v England,Birmingham,30 Jun 2019,ODI # 4179
66,1,6,2,0,0,50.00,9,bowled,1,,v Bangladesh,Birmingham,2 Jul 2019,ODI # 4182
67,TDNB,-,-,-,-,-,-,-,-,,v West Indies,Providence,8 Aug 2019,ODI # 4196
68,3*,11,5,0,0,60.00,9,not out,1,,v West Indies,Port of Spain,11 Aug 2019,ODI # 4197
69,DNB,-,-,-,-,-,-,-,2,,v West Indies,Port of Spain,14 Aug 2019,ODI # 4199
70,0*,-,1,0,0,0.00,10,not out,1,,v West Indies,Chennai,15 Dec 2019,ODI # 4221
71,DNB,-,-,-,-,-,-,-,1,,v West Indies,Visakhapatnam,18 Dec 2019,ODI # 4222
72,DNB,-,-,-,-,-,-,-,2,,v West Indies,Cuttack,22 Dec 2019,ODI # 4223
73,10,-,15,1,0,66.66,9,caught,1,,v Australia,Wankhede,14 Jan 2020,ODI # 4231
74,1*,-,1,0,0,100.00,8,not out,1,,v Australia,Rajkot,17 Jan 2020,ODI # 4232
