,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Unnamed: 9,Opposition,Ground,Start Date,Unnamed: 13
0,60*,91,77,5,0,77.92,8,not out,2,,v Sri Lanka,Colombo (RPS),8 Feb 2009,ODI # 2818
1,0,1,1,0,0,0.00,6,caught,1,,v West Indies,Kingston,26 Jun 2009,ODI # 2852
2,7,9,12,1,0,58.33,7,caught,1,,v West Indies,Kingston,28 Jun 2009,ODI # 2853
3,5,16,13,0,0,38.46,7,lbw,2,,v Australia,Vadodara,25 Oct 2009,ODI # 2913
4,DNB,-,-,-,-,-,-,-,1,,v Australia,Nagpur,28 Oct 2009,ODI # 2915
5,DNB,-,-,-,-,-,-,-,2,,v Australia,Delhi,31 Oct 2009,ODI # 2918
6,7,33,21,1,0,33.33,7,run out,2,,v Australia,Mohali,2 Nov 2009,ODI # 2919
7,23,24,17,3,0,135.29,8,run out,2,,v Australia,Hyderabad,5 Nov 2009,ODI # 2923
8,57,148,103,6,0,55.33,7,caught,1,,v Australia,Guwahati,8 Nov 2009,ODI # 2925
9,30*,28,17,1,2,176.47,8,not out,1,,v Sri Lanka,Rajkot,15 Dec 2009,ODI # 2932
10,12*,18,6,2,0,200.00,7,not out,1,,v Sri Lanka,Nagpur,18 Dec 2009,ODI # 2933
11,DNB,-,-,-,-,-,-,-,2,,v Sri Lanka,Cuttack,21 Dec 2009,ODI # 2934
12,DNB,-,-,-,-,-,-,-,2,,v Sri Lanka,Eden Gardens,24 Dec 2009,ODI # 2935
13,TDNB,-,-,-,-,-,-,-,-,,v Sri Lanka,Delhi,27 Dec 2009,ODI # 2936
14,39,41,34,3,1,114.70,7,caught,1,,v Sri Lanka,Mirpur,5 Jan 2010,ODI # 2938
15,DNB,-,-,-,-,-,-,-,2,,v Bangladesh,Mirpur,7 Jan 2010,ODI # 2939
16,DNB,-,-,-,-,-,-,-,2,,v Sri Lanka,Mirpur,10 Jan 2010,ODI # 2941
17,DNB,-,-,-,-,-,-,-,2,,v Bangladesh,Mirpur,11 Jan 2010,ODI # 2942
18,38,93,64,0,0,59.37,7,lbw,1,,v Sri Lanka,Mirpur,13 Jan 2010,ODI # 2943
19,22,-,20,1,0,110.00,8,caught,1,,v South Africa,Jaipur,21 Feb 2010,ODI # 2961
20,DNB,-,-,-,-,-,-,-,1,,v South Africa,Gwalior,24 Feb 2010,ODI # 2962
21,36,-,35,2,1,102.85,8,caught,2,,v South Africa,Ahmedabad,27 Feb 2010,ODI # 2963
22,61*,79,61,5,0,100.00,6,not out,1,,v Zimbabwe,Bulawayo,28 May 2010,ODI # 2981
23,DNB,-,-,-,-,-,-,-,2,,v Sri Lanka,Bulawayo,30 May 2010,ODI # 2983
24,51,100,72,3,2,70.83,6,caught,1,,v Zimbabwe,Harare,3 Jun 2010,ODI # 2986
25,19,77,26,0,1,73.07,7,run out,1,,v Sri Lanka,Harare,5 Jun 2010,ODI # 2988
26,DNB,-,-,-,-,-,-,-,2,,v Bangladesh,Dambulla,16 Jun 2010,ODI # 2993
27,6,13,9,0,0,66.66,7,bowled,2,,v Pakistan,Dambulla,19 Jun 2010,ODI # 2996
28,0,1,1,0,0,0.00,7,lbw,1,,v Sri Lanka,Dambulla,22 Jun 2010,ODI # 2999
29,25*,48,27,1,0,92.59,7,not out,1,,v Sri Lanka,Dambulla,24 Jun 2010,ODI # 3001
30,20,60,44,2,0,45.45,7,caught,2,,v New Zealand,Dambulla,10 Aug 2010,ODI # 3030
31,DNB,-,-,-,-,-,-,-,2,,v Sri Lanka,Dambulla,16 Aug 2010,ODI # 3032
32,0,-,9,0,0,0.00,7,caught,1,,v Sri Lanka,Dambulla,22 Aug 2010,ODI # 3038
33,17,27,26,3,0,65.38,7,caught,1,,v New Zealand,Dambulla,25 Aug 2010,ODI # 3039
34,DNB,-,-,-,-,-,-,-,2,,v New Zealand,Vadodara,4 Dec 2010,ODI # 3074
