,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Unnamed: 9,Opposition,Ground,Start Date,Unnamed: 13
0,38,70,32,4,1,118.75,8,caught,1,,v Sri Lanka,Harare,5 Jun 2010,ODI # 2988
1,DNB,-,-,-,-,-,-,-,2,,v Australia,Visakhapatnam,20 Oct 2010,ODI # 3060
2,0,3,2,0,0,0.00,8,caught,1,,v New Zealand,Guwahati,28 Nov 2010,ODI # 3070
3,DNB,-,-,-,-,-,-,-,2,,v New Zealand,Jaipur,1 Dec 2010,ODI # 3072
4,DNB,-,-,-,-,-,-,-,2,,v New Zealand,Vadodara,4 Dec 2010,ODI # 3074
5,DNB,-,-,-,-,-,-,-,2,,v New Zealand,Bengaluru,7 Dec 2010,ODI # 3076
6,DNB,-,-,-,-,-,-,-,2,,v New Zealand,Chennai,10 Dec 2010,ODI # 3077
7,10*,14,7,1,0,142.85,9,not out,1,,v West Indies,Chennai,20 Mar 2011,ODI # 3141
8,DNB,-,-,-,-,-,-,-,2,,v Australia,Ahmedabad,24 Mar 2011,ODI # 3143
9,15,43,27,0,0,55.55,8,caught,2,,v West Indies,North Sound,13 Jun 2011,ODI # 3162
10,8*,24,7,1,0,114.28,8,not out,1,,v West Indies,Kingston,16 Jun 2011,ODI # 3163
11,0,1,1,0,0,0.00,9,bowled,1,,v England,Chester-le-Street,3 Sep 2011,ODI # 3186
12,1,4,1,0,0,100.00,8,run out,1,,v England,Southampton,6 Sep 2011,ODI # 3187
13,36*,32,19,5,0,189.47,8,not out,1,,v England,The Oval,9 Sep 2011,ODI # 3189
14,DNB,-,-,-,-,-,-,-,1,,v England,Lord's,11 Sep 2011,ODI # 3191
15,0*,5,0,0,0,-,8,not out,1,,v England,Cardiff,16 Sep 2011,ODI # 3195
16,8,11,6,1,0,133.33,8,run out,1,,v England,Hyderabad,14 Oct 2011,ODI # 3199
17,DNB,-,-,-,-,-,-,-,2,,v England,Delhi,17 Oct 2011,ODI # 3201
18,DNB,-,-,-,-,-,-,-,2,,v England,Mohali,20 Oct 2011,ODI # 3205
19,DNB,-,-,-,-,-,-,-,2,,v England,Wankhede,23 Oct 2011,ODI # 3207
20,7,8,10,0,0,70.00,8,caught,1,,v England,Eden Gardens,25 Oct 2011,ODI # 3210
21,6,17,10,0,0,60.00,8,run out,2,,v West Indies,Cuttack,29 Nov 2011,ODI # 3217
22,DNB,-,-,-,-,-,-,-,2,,v West Indies,Visakhapatnam,2 Dec 2011,ODI # 3219
23,31,74,64,1,0,48.43,8,lbw,2,,v West Indies,Ahmedabad,5 Dec 2011,ODI # 3221
24,DNB,-,-,-,-,-,-,-,1,,v West Indies,Indore,8 Dec 2011,ODI # 3223
25,5,4,3,0,0,166.66,8,run out,2,,v Australia,Melbourne,5 Feb 2012,ODI # 3231
26,30*,45,38,3,0,78.94,8,not out,2,,v Sri Lanka,Perth,8 Feb 2012,ODI # 3233
27,1*,8,2,0,0,50.00,8,not out,2,,v Australia,Adelaide,12 Feb 2012,ODI # 3237
28,14,21,13,1,0,107.69,8,caught,2,,v Sri Lanka,Adelaide,14 Feb 2012,ODI # 3239
29,5,11,6,0,0,83.33,9,caught,2,,v Sri Lanka,Brisbane,21 Feb 2012,ODI # 3246
