,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Unnamed: 9,Opposition,Ground,Start Date,Unnamed: 13
0,DNB,-,-,-,-,-,-,-,2,,v Ireland,Belfast,23 Jun 2007,ODI # 2590
1,8,13,9,0,0,88.88,7,bowled,1,,v South Africa,Belfast,26 Jun 2007,ODI # 2592
2,1,3,4,0,0,25.00,7,caught,2,,v Australia,Hyderabad,5 Oct 2007,ODI # 2625
3,52,82,61,3,1,85.24,5,caught,2,,v Pakistan,Jaipur,18 Nov 2007,ODI # 2647
4,29,68,43,5,0,67.44,4,caught,1,,v Australia,Brisbane,3 Feb 2008,ODI # 2670
5,0,1,2,0,0,0.00,5,caught,1,,v Sri Lanka,Brisbane,5 Feb 2008,ODI # 2672
6,39*,86,61,2,0,63.93,6,not out,2,,v Australia,Melbourne,10 Feb 2008,ODI # 2675
7,70*,93,64,6,1,109.37,4,not out,1,,v Sri Lanka,Canberra,12 Feb 2008,ODI # 2676
8,1,12,3,0,0,33.33,4,caught,2,,v Australia,Adelaide,17 Feb 2008,ODI # 2680
9,24,74,36,1,0,66.66,4,caught,2,,v Sri Lanka,Adelaide,19 Feb 2008,ODI # 2681
10,1,3,3,0,0,33.33,4,caught,2,,v Australia,Sydney,24 Feb 2008,ODI # 2685
11,3*,8,7,0,0,42.85,5,not out,2,,v Sri Lanka,Hobart,26 Feb 2008,ODI # 2686
12,66,108,87,6,0,75.86,5,bowled,2,,v Australia,Sydney,2 Mar 2008,ODI # 2688
13,2,6,5,0,0,40.00,6,caught,1,,v Australia,Brisbane,4 Mar 2008,ODI # 2689
14,9,28,27,0,0,33.33,5,bowled,1,,v Pakistan,Mirpur,10 Jun 2008,ODI # 2705
15,26,50,43,1,1,60.46,3,caught,2,,v Bangladesh,Mirpur,12 Jun 2008,ODI # 2706
16,24,43,27,5,0,88.88,3,caught,2,,v Pakistan,Mirpur,14 Jun 2008,ODI # 2707
17,11,37,29,0,0,37.93,3,run out,1,,v Hong Kong,Karachi,25 Jun 2008,ODI # 2716
18,0*,3,1,0,0,0.00,6,not out,2,,v Pakistan,Karachi,26 Jun 2008,ODI # 2717
19,22,28,23,2,0,95.65,3,caught,2,,v Bangladesh,Karachi,28 Jun 2008,ODI # 2721
20,58,81,71,4,0,81.69,6,caught,1,,v Pakistan,Karachi,2 Jul 2008,ODI # 2730
21,22*,37,28,2,0,78.57,6,not out,2,,v Sri Lanka,Karachi,3 Jul 2008,ODI # 2732
22,3,8,8,0,0,37.50,6,lbw,2,,v Sri Lanka,Karachi,6 Jul 2008,ODI # 2735
23,19,46,31,1,1,61.29,5,caught,1,,v Sri Lanka,Dambulla,18 Aug 2008,ODI # 2742
24,0,2,2,0,0,0.00,6,lbw,2,,v Sri Lanka,Dambulla,20 Aug 2008,ODI # 2745
25,32,39,32,3,0,100.00,7,caught,1,,v Sri Lanka,Colombo (RPS),24 Aug 2008,ODI # 2750
26,18,30,23,0,0,78.26,6,caught,1,,v Sri Lanka,Colombo (RPS),27 Aug 2008,ODI # 2755
27,3,11,5,0,0,60.00,5,lbw,2,,v Sri Lanka,Colombo (RPS),29 Aug 2008,ODI # 2756
28,11*,30,8,1,0,137.50,7,not out,1,,v England,Rajkot,14 Nov 2008,ODI # 2774
29,3,16,13,0,0,23.07,4,caught,1,,v England,Indore,17 Nov 2008,ODI # 2777
30,28,54,41,3,0,68.29,4,caught,2,,v England,Kanpur,20 Nov 2008,ODI # 2778
31,8*,13,10,1,0,80.00,6,not out,2,,v England,Cuttack,26 Nov 2008,ODI # 2783
32,25*,44,30,3,0,83.33,6,not out,2,,v Sri Lanka,Dambulla,28 Jan 2009,ODI # 2806
