,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Unnamed: 9,Opposition,Ground,Start Date,Unnamed: 13
0,31*,26,20,5,0,155.00,5,not out,2,,v Sri Lanka,Colombo (RPS),18 Jul 2021,ODI # 4307
1,53,78,44,6,0,120.45,5,lbw,2,,v Sri Lanka,Colombo (RPS),20 Jul 2021,ODI # 4309
2,40,63,37,7,0,108.10,5,lbw,1,,v Sri Lanka,Colombo (RPS),23 Jul 2021,ODI # 4312
3,39,42,32,4,1,121.87,6,caught,2,,v South Africa,Cape Town,23 Jan 2022,ODI # 4349
4,34*,47,36,5,0,94.44,5,not out,2,,v West Indies,Ahmedabad,6 Feb 2022,ODI # 4353
5,64,118,83,5,0,77.10,5,caught,1,,v West Indies,Ahmedabad,9 Feb 2022,ODI # 4355
6,6,13,7,1,0,85.71,6,caught,1,,v West Indies,Ahmedabad,11 Feb 2022,ODI # 4356
7,DNB,-,-,-,-,-,-,-,2,,v England,The Oval,12 Jul 2022,ODI # 4424
8,27,45,29,1,1,93.10,5,bowled,2,,v England,Lord's,14 Jul 2022,ODI # 4428
9,16,34,28,1,0,57.14,5,caught,2,,v England,Manchester,17 Jul 2022,ODI # 4433
10,13,22,14,2,0,92.85,4,bowled,1,,v West Indies,Port of Spain,22 Jul 2022,ODI # 4436
11,9,10,8,0,1,112.50,4,bowled,2,,v West Indies,Port of Spain,24 Jul 2022,ODI # 4438
12,8,9,6,1,0,133.33,4,caught,1,,v West Indies,Port of Spain,27 Jul 2022,ODI # 4439
13,4,2,3,1,0,133.33,5,caught,1,,v New Zealand,Auckland,25 Nov 2022,ODI # 4483
14,34*,-,25,2,3,136.00,3,not out,1,,v New Zealand,Hamilton,27 Nov 2022,ODI # 4487
15,6,17,10,0,0,60.00,5,caught,1,,v New Zealand,Christchurch,30 Nov 2022,ODI # 4489
16,4,6,4,0,0,100.00,6,caught,1,,v Sri Lanka,Thiruvananthapuram,15 Jan 2023,ODI # 4505
17,31,39,26,4,0,119.23,5,caught,1,,v New Zealand,Hyderabad,18 Jan 2023,ODI # 4507
18,DNB,-,-,-,-,-,-,-,2,,v New Zealand,Raipur,21 Jan 2023,ODI # 4509
19,14,19,9,0,2,155.55,5,caught,1,,v New Zealand,Indore,24 Jan 2023,ODI # 4511
20,0,3,1,0,0,0.00,4,lbw,2,,v Australia,Wankhede,17 Mar 2023,ODI # 4538
21,0,1,1,0,0,0.00,4,lbw,1,,v Australia,Visakhapatnam,19 Mar 2023,ODI # 4541
22,0,2,1,0,0,0.00,7,bowled,2,,v Australia,Chennai,22 Mar 2023,ODI # 4545
23,19,30,25,3,1,76.00,3,lbw,2,,v West Indies,Bridgetown,27 Jul 2023,ODI # 4622
24,24,37,25,3,0,96.00,6,caught,1,,v West Indies,Bridgetown,29 Jul 2023,ODI # 4623
25,35,43,30,2,2,116.66,6,caught,1,,v West Indies,Tarouba,1 Aug 2023,ODI # 4624
26,26,37,34,3,0,76.47,6,bowled,2,,v Bangladesh,Colombo (RPS),15 Sep 2023,ODI # 4645
27,50,66,49,5,1,102.04,6,caught,2,,v Australia,Mohali,22 Sep 2023,ODI # 4651
28,72*,48,37,6,6,194.59,6,not out,1,,v Australia,Indore,24 Sep 2023,ODI # 4654
29,8,7,7,1,0,114.28,6,caught,2,,v Australia,Rajkot,27 Sep 2023,ODI # 4657
30,2,8,4,0,0,50.00,6,run out,2,,v New Zealand,Dharamsala,22 Oct 2023,ODI # 4678
31,49,75,47,4,1,104.25,6,caught,1,,v England,Lucknow,29 Oct 2023,ODI # 4686
32,12,13,9,2,0,133.33,6,caught,1,,v Sri Lanka,Wankhede,2 Nov 2023,ODI # 4690
33,22,19,14,5,0,157.14,6,caught,1,,v South Africa,Eden Gardens,5 Nov 2023,ODI # 4694
34,2*,1,1,0,0,200.00,6,not out,1,,v Netherlands,Bengaluru,12 Nov 2023,ODI # 4702
35,1,2,2,0,0,50.00,6,caught,1,,v New Zealand,Wankhede,15 Nov 2023,ODI # 4703
36,18,57,28,1,0,64.28,7,caught,1,,v Australia,Ahmedabad,19 Nov 2023,ODI # 4705
