,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Unnamed: 9,Opposition,Ground,Start Date,Unnamed: 13
0,9,32,21,1,0,42.85,3,caught,1,,v New Zealand,Hamilton,31 Jan 2019,ODI # 4091
1,7,13,11,1,0,63.63,3,caught,1,,v New Zealand,Wellington,3 Feb 2019,ODI # 4092
2,33,-,39,3,1,84.61,2,lbw,1,,v Australia,Canberra,2 Dec 2020,ODI # 4267
3,64,83,53,6,2,120.75,2,run out,1,,v West Indies,Port of Spain,22 Jul 2022,ODI # 4436
4,43,70,49,5,0,87.75,2,caught,2,,v West Indies,Port of Spain,24 Jul 2022,ODI # 4438
5,98*,162,98,7,2,100.0,2,not out,1,,v West Indies,Port of Spain,27 Jul 2022,ODI # 4439
6,82*,130,72,10,1,113.88,2,not out,2,,v Zimbabwe,Harare,18 Aug 2022,ODI # 4451
7,33,62,34,6,0,97.05,3,caught,2,,v Zimbabwe,Harare,20 Aug 2022,ODI # 4454
8,130,145,97,15,1,134.02,3,caught,1,,v Zimbabwe,Harare,22 Aug 2022,ODI # 4457
9,3,13,7,0,0,42.85,2,bowled,2,,v South Africa,Lucknow,6 Oct 2022,ODI # 4470
10,28,34,26,5,0,107.69,2,caught,2,,v South Africa,Ranchi,9 Oct 2022,ODI # 4471
11,49,82,57,8,0,85.96,2,lbw,2,,v South Africa,Delhi,11 Oct 2022,ODI # 4472
12,50,93,65,1,3,76.92,2,caught,1,,v New Zealand,Auckland,25 Nov 2022,ODI # 4483
13,45*,-,42,4,1,107.14,2,not out,1,,v New Zealand,Hamilton,27 Nov 2022,ODI # 4487
14,13,34,22,2,0,59.09,2,caught,1,,v New Zealand,Christchurch,30 Nov 2022,ODI # 4489
15,70,89,60,11,0,116.66,2,lbw,1,,v Sri Lanka,Guwahati,10 Jan 2023,ODI # 4501
16,21,25,12,5,0,175.0,2,caught,2,,v Sri Lanka,Eden Gardens,12 Jan 2023,ODI # 4503
17,116,147,97,14,2,119.58,2,bowled,1,,v Sri Lanka,Thiruvananthapuram,15 Jan 2023,ODI # 4505
18,208,225,149,19,9,139.59,2,caught,1,,v New Zealand,Hyderabad,18 Jan 2023,ODI # 4507
19,40*,88,53,6,0,75.47,2,not out,2,,v New Zealand,Raipur,21 Jan 2023,ODI # 4509
20,112,120,78,13,5,143.58,2,caught,1,,v New Zealand,Indore,24 Jan 2023,ODI # 4511
21,20,57,31,3,0,64.51,2,caught,2,,v Australia,Wankhede,17 Mar 2023,ODI # 4538
22,0,4,2,0,0,0.0,2,caught,1,,v Australia,Visakhapatnam,19 Mar 2023,ODI # 4541
23,37,62,49,4,1,75.51,2,lbw,2,,v Australia,Chennai,22 Mar 2023,ODI # 4545
24,7,19,16,1,0,43.75,2,caught,2,,v West Indies,Bridgetown,27 Jul 2023,ODI # 4622
25,34,72,49,5,0,69.38,2,caught,1,,v West Indies,Bridgetown,29 Jul 2023,ODI # 4623
26,85,168,92,11,0,92.39,2,caught,1,,v West Indies,Tarouba,1 Aug 2023,ODI # 4624
27,10,75,32,1,0,31.25,2,bowled,1,,v Pakistan,Pallekele,2 Sep 2023,ODI # 4630
28,67*,87,62,8,1,108.06,2,not out,2,,v Nepal,Pallekele,4 Sep 2023,ODI # 4632
29,58,83,52,10,0,111.53,2,caught,1,,v Pakistan,Colombo (RPS),10 Sep 2023,ODI # 4639
30,19,54,25,2,0,76.0,2,bowled,1,,v Sri Lanka,Colombo (RPS),12 Sep 2023,ODI # 4641
31,121,185,133,8,5,90.97,2,caught,2,,v Bangladesh,Colombo (RPS),15 Sep 2023,ODI # 4645
32,27*,26,19,6,0,142.1,2,not out,2,,v Sri Lanka,Colombo (RPS),17 Sep 2023,ODI # 4649
33,74,110,63,6,2,117.46,2,bowled,2,,v Australia,Mohali,22 Sep 2023,ODI # 4651
34,104,155,97,6,4,107.21,2,caught,1,,v Australia,Indore,24 Sep 2023,ODI # 4654
35,16,11,11,4,0,145.45,2,caught,2,,v Pakistan,Ahmedabad,14 Oct 2023,ODI # 4669
36,53,80,55,5,2,96.36,2,caught,2,,v Bangladesh,Pune,19 Oct 2023,ODI # 4674
37,26,53,31,5,0,83.87,2,caught,2,,v New Zealand,Dharamsala,22 Oct 2023,ODI # 4678
38,9,18,13,1,0,69.23,2,bowled,1,,v England,Lucknow,29 Oct 2023,ODI # 4686
39,92,136,92,11,2,100.0,2,caught,1,,v Sri Lanka,Wankhede,2 Nov 2023,ODI # 4690
40,23,54,24,4,1,95.83,2,bowled,1,,v South Africa,Eden Gardens,5 Nov 2023,ODI # 4694
41,51,49,32,3,4,159.37,2,caught,1,,v Netherlands,Bengaluru,12 Nov 2023,ODI # 4702
42,80*,116,66,8,3,121.21,2,not out,1,,v New Zealand,Wankhede,15 Nov 2023,ODI # 4703
43,4,21,7,0,0,57.14,2,caught,1,,v Australia,Ahmedabad,19 Nov 2023,ODI # 4705
