,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Unnamed: 9,Opposition,Ground,Start Date,Unnamed: 13
0,DNB,-,-,-,-,-,-,-,1,,v Sri Lanka,Colombo (RPS),31 Aug 2017,ODI # 3908
1,DNB,-,-,-,-,-,-,-,2,,v Sri Lanka,Colombo (RPS),3 Sep 2017,ODI # 3909
2,DNB,-,-,-,-,-,-,-,2,,v South Africa,Centurion,16 Feb 2018,ODI # 3978
3,22*,21,13,0,2,169.23,9,not out,1,,v England,Leeds,17 Jul 2018,ODI # 4018
4,0,-,3,0,0,0.00,8,caught,1,,v Hong Kong,Dubai (DSC),18 Sep 2018,ODI # 4039
5,DNB,-,-,-,-,-,-,-,1,,v West Indies,Visakhapatnam,18 Dec 2019,ODI # 4222
6,17*,-,6,2,1,283.33,8,not out,2,,v West Indies,Cuttack,22 Dec 2019,ODI # 4223
7,13,-,10,2,0,130.00,8,bowled,1,,v Australia,Wankhede,14 Jan 2020,ODI # 4231
8,DNB,-,-,-,-,-,-,-,1,,v New Zealand,Hamilton,5 Feb 2020,ODI # 4235
9,18,20,15,3,0,120.00,8,bowled,2,,v New Zealand,Auckland,8 Feb 2020,ODI # 4239
10,7,19,6,1,0,116.66,8,caught,1,,v New Zealand,Mount Maunganui,11 Feb 2020,ODI # 4243
11,DNB,-,-,-,-,-,-,-,1,,v Australia,Canberra,2 Dec 2020,ODI # 4267
12,DNB,-,-,-,-,-,-,-,1,,v England,Pune,23 Mar 2021,ODI # 4281
13,0*,1,0,0,0,-,8,not out,1,,v England,Pune,26 Mar 2021,ODI # 4283
14,30,35,21,1,3,142.85,8,caught,1,,v England,Pune,28 Mar 2021,ODI # 4284
15,50*,63,43,5,1,116.27,8,not out,2,,v South Africa,Paarl,19 Jan 2022,ODI # 4344
16,40*,60,38,3,1,105.26,7,not out,1,,v South Africa,Paarl,21 Jan 2022,ODI # 4346
17,DNB,-,-,-,-,-,-,-,2,,v West Indies,Ahmedabad,6 Feb 2022,ODI # 4353
18,8,17,15,1,0,53.33,8,caught,1,,v West Indies,Ahmedabad,9 Feb 2022,ODI # 4355
19,7*,9,5,1,0,140.00,8,not out,1,,v West Indies,Port of Spain,22 Jul 2022,ODI # 4436
20,3,12,6,0,0,50.00,8,caught,2,,v West Indies,Port of Spain,24 Jul 2022,ODI # 4438
21,DNB,-,-,-,-,-,-,-,1,,v West Indies,Port of Spain,27 Jul 2022,ODI # 4439
22,DNB,-,-,-,-,-,-,-,2,,v Zimbabwe,Harare,20 Aug 2022,ODI # 4454
23,9,10,6,2,0,150.00,8,caught,1,,v Zimbabwe,Harare,22 Aug 2022,ODI # 4457
24,33,55,31,5,0,106.45,7,caught,2,,v South Africa,Lucknow,6 Oct 2022,ODI # 4470
25,DNB,-,-,-,-,-,-,-,2,,v South Africa,Ranchi,9 Oct 2022,ODI # 4471
26,DNB,-,-,-,-,-,-,-,2,,v South Africa,Delhi,11 Oct 2022,ODI # 4472
27,1,3,2,0,0,50.00,8,caught,1,,v New Zealand,Auckland,25 Nov 2022,ODI # 4483
28,2,6,3,0,0,66.66,8,bowled,1,,v Bangladesh,Mirpur,4 Dec 2022,ODI # 4493
29,7,37,23,0,0,30.43,7,stumped,2,,v Bangladesh,Mirpur,7 Dec 2022,ODI # 4496
30,3,14,5,0,0,60.00,8,caught,1,,v Bangladesh,Chattogram,10 Dec 2022,ODI # 4499
31,3,9,3,0,0,100.00,8,run out,1,,v New Zealand,Hyderabad,18 Jan 2023,ODI # 4507
32,DNB,-,-,-,-,-,-,-,2,,v New Zealand,Raipur,21 Jan 2023,ODI # 4509
33,25,26,17,3,1,147.05,8,caught,1,,v New Zealand,Indore,24 Jan 2023,ODI # 4511
34,DNB,-,-,-,-,-,-,-,2,,v Australia,Wankhede,17 Mar 2023,ODI # 4538
35,1,4,4,0,0,25.00,6,caught,2,,v West Indies,Bridgetown,27 Jul 2023,ODI # 4622
36,16,26,22,2,0,72.72,8,lbw,1,,v West Indies,Bridgetown,29 Jul 2023,ODI # 4623
37,DNB,-,-,-,-,-,-,-,1,,v West Indies,Tarouba,1 Aug 2023,ODI # 4624
38,3,5,3,0,0,100.00,8,caught,1,,v Pakistan,Pallekele,2 Sep 2023,ODI # 4630
39,DNB,-,-,-,-,-,-,-,2,,v Nepal,Pallekele,4 Sep 2023,ODI # 4632
40,DNB,-,-,-,-,-,-,-,1,,v Pakistan,Colombo (RPS),10 Sep 2023,ODI # 4639
41,11,26,13,0,0,84.61,9,caught,2,,v Bangladesh,Colombo (RPS),15 Sep 2023,ODI # 4645
42,DNB,-,-,-,-,-,-,-,2,,v Australia,Mohali,22 Sep 2023,ODI # 4651
43,DNB,-,-,-,-,-,-,-,1,,v Australia,Indore,24 Sep 2023,ODI # 4654
44,DNB,-,-,-,-,-,-,-,2,,v Afghanistan,Delhi,11 Oct 2023,ODI # 4666
45,DNB,-,-,-,-,-,-,-,2,,v Pakistan,Ahmedabad,14 Oct 2023,ODI # 4669
46,DNB,-,-,-,-,-,-,-,2,,v Bangladesh,Pune,19 Oct 2023,ODI # 4674
