,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Unnamed: 9,Opposition,Ground,Start Date,Unnamed: 13
0,9,60,27,1,0,33.33,3,bowled,1,,v Sri Lanka,Dharamsala,10 Dec 2017,ODI # 3939
1,88,99,70,9,2,125.71,3,caught,1,,v Sri Lanka,Mohali,13 Dec 2017,ODI # 3941
2,65,82,63,8,1,103.17,3,caught,2,,v Sri Lanka,Visakhapatnam,17 Dec 2017,ODI # 3942
3,18,39,21,2,0,85.71,5,caught,1,,v South Africa,Johannesburg,10 Feb 2018,ODI # 3973
4,30,57,37,2,0,81.08,5,caught,1,,v South Africa,Gqeberha,13 Feb 2018,ODI # 3976
5,DNB,-,-,-,-,-,-,-,2,,v South Africa,Centurion,16 Feb 2018,ODI # 3978
6,TDNB,-,-,-,-,-,-,-,-,,v West Indies,Providence,8 Aug 2019,ODI # 4196
7,71,101,68,5,1,104.41,5,bowled,1,,v West Indies,Port of Spain,11 Aug 2019,ODI # 4197
8,65,65,41,3,5,158.53,5,caught,2,,v West Indies,Port of Spain,14 Aug 2019,ODI # 4199
9,70,-,88,5,1,79.54,4,caught,1,,v West Indies,Chennai,15 Dec 2019,ODI # 4221
10,53,-,32,3,4,165.62,4,caught,1,,v West Indies,Visakhapatnam,18 Dec 2019,ODI # 4222
11,7,-,7,1,0,100.00,4,caught,2,,v West Indies,Cuttack,22 Dec 2019,ODI # 4223
12,4,-,9,0,0,44.44,5,caught,1,,v Australia,Wankhede,14 Jan 2020,ODI # 4231
13,7,-,17,1,0,41.17,4,bowled,1,,v Australia,Rajkot,17 Jan 2020,ODI # 4232
14,44*,-,35,6,1,125.71,4,not out,2,,v Australia,Bengaluru,19 Jan 2020,ODI # 4233
15,103,161,107,11,1,96.26,4,caught,1,,v New Zealand,Hamilton,5 Feb 2020,ODI # 4235
16,52,101,57,7,1,91.22,4,caught,2,,v New Zealand,Auckland,8 Feb 2020,ODI # 4239
17,62,102,63,9,0,98.41,4,caught,1,,v New Zealand,Mount Maunganui,11 Feb 2020,ODI # 4243
18,2,-,2,0,0,100.00,4,caught,2,,v Australia,Sydney,27 Nov 2020,ODI # 4265
19,38,-,36,5,0,105.55,4,caught,2,,v Australia,Sydney,29 Nov 2020,ODI # 4266
20,19,-,21,2,0,90.47,4,caught,1,,v Australia,Canberra,2 Dec 2020,ODI # 4267
21,6,16,9,1,0,66.66,4,caught,1,,v England,Pune,23 Mar 2021,ODI # 4281
22,17,25,17,1,0,100.00,5,caught,2,,v South Africa,Paarl,19 Jan 2022,ODI # 4344
23,11,29,14,0,0,78.57,5,lbw,1,,v South Africa,Paarl,21 Jan 2022,ODI # 4346
24,26,56,34,2,0,76.47,5,caught,2,,v South Africa,Cape Town,23 Jan 2022,ODI # 4349
25,80,154,111,9,0,72.07,4,caught,1,,v West Indies,Ahmedabad,11 Feb 2022,ODI # 4356
26,DNB,-,-,-,-,-,-,-,2,,v England,The Oval,12 Jul 2022,ODI # 4424
27,54,76,57,5,2,94.73,3,caught,1,,v West Indies,Port of Spain,22 Jul 2022,ODI # 4436
28,63,98,71,4,1,88.73,3,lbw,2,,v West Indies,Port of Spain,24 Jul 2022,ODI # 4438
29,44,47,34,4,1,129.41,3,caught,1,,v West Indies,Port of Spain,27 Jul 2022,ODI # 4439
30,50,53,37,8,0,135.13,5,caught,2,,v South Africa,Lucknow,6 Oct 2022,ODI # 4470
31,113*,155,111,15,0,101.80,4,not out,2,,v South Africa,Ranchi,9 Oct 2022,ODI # 4471
32,28*,40,23,3,2,121.73,4,not out,2,,v South Africa,Delhi,11 Oct 2022,ODI # 4472
33,80,122,76,4,4,105.26,3,caught,1,,v New Zealand,Auckland,25 Nov 2022,ODI # 4483
34,DNB,-,-,-,-,-,-,-,1,,v New Zealand,Hamilton,27 Nov 2022,ODI # 4487
35,49,81,59,8,0,83.05,3,caught,1,,v New Zealand,Christchurch,30 Nov 2022,ODI # 4489
36,24,47,39,2,0,61.53,4,caught,1,,v Bangladesh,Mirpur,4 Dec 2022,ODI # 4493
37,82,140,102,6,3,80.39,3,caught,2,,v Bangladesh,Mirpur,7 Dec 2022,ODI # 4496
38,3,12,6,0,0,50.00,4,caught,1,,v Bangladesh,Chattogram,10 Dec 2022,ODI # 4499
39,28,24,24,3,1,116.66,4,caught,1,,v Sri Lanka,Guwahati,10 Jan 2023,ODI # 4501
40,28,46,33,5,0,84.84,4,lbw,2,,v Sri Lanka,Eden Gardens,12 Jan 2023,ODI # 4503
41,38,64,32,2,1,118.75,4,caught,1,,v Sri Lanka,Thiruvananthapuram,15 Jan 2023,ODI # 4505
42,14,18,9,2,0,155.55,4,caught,1,,v Pakistan,Pallekele,2 Sep 2023,ODI # 4630
43,DNB,-,-,-,-,-,-,-,2,,v Nepal,Pallekele,4 Sep 2023,ODI # 4632
44,3,8,8,0,0,37.50,3,run out,2,,v Australia,Mohali,22 Sep 2023,ODI # 4651
45,105,118,90,11,3,116.66,3,caught,1,,v Australia,Indore,24 Sep 2023,ODI # 4654
46,48,74,43,1,2,111.62,4,bowled,2,,v Australia,Rajkot,27 Sep 2023,ODI # 4657
47,0,2,3,0,0,0.00,4,caught,2,,v Australia,Chennai,8 Oct 2023,ODI # 4662
48,25*,31,23,1,1,108.69,4,not out,2,,v Afghanistan,Delhi,11 Oct 2023,ODI # 4666
49,53*,80,62,3,2,85.48,4,not out,2,,v Pakistan,Ahmedabad,14 Oct 2023,ODI # 4669
50,19,38,25,2,0,76.00,4,caught,2,,v Bangladesh,Pune,19 Oct 2023,ODI # 4674
51,33,32,29,6,0,113.79,4,caught,2,,v New Zealand,Dharamsala,22 Oct 2023,ODI # 4678
52,4,21,16,0,0,25.00,4,caught,1,,v England,Lucknow,29 Oct 2023,ODI # 4686
53,82,84,56,3,6,146.42,4,caught,1,,v Sri Lanka,Wankhede,2 Nov 2023,ODI # 4690
54,77,101,87,7,2,88.50,4,caught,1,,v South Africa,Eden Gardens,5 Nov 2023,ODI # 4694
55,128*,145,94,10,5,136.17,4,not out,1,,v Netherlands,Bengaluru,12 Nov 2023,ODI # 4702
56,105,114,70,4,8,150.00,4,caught,1,,v New Zealand,Wankhede,15 Nov 2023,ODI # 4703
57,4,3,3,1,0,133.33,4,caught,1,,v Australia,Ahmedabad,19 Nov 2023,ODI # 4705
