,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Unnamed: 7,Opposition,Ground,Start Date,Unnamed: 11
0,7.0,0,31,3,4.42,2,1,,v New Zealand,Dharamsala,16 Oct 2016,ODI # 3796
1,9.0,0,45,0,5.00,2,1,,v New Zealand,Delhi,20 Oct 2016,ODI # 3797
2,5.0,0,34,0,6.80,2,1,,v New Zealand,Mohali,23 Oct 2016,ODI # 3798
3,5.0,0,31,1,6.20,3,1,,v New Zealand,Ranchi,26 Oct 2016,ODI # 3799
4,9.0,0,46,2,5.11,2,1,,v England,Pune,15 Jan 2017,ODI # 3819
5,6.0,0,60,0,10.00,4,2,,v England,Cuttack,19 Jan 2017,ODI # 3821
6,10.0,1,49,3,4.90,2,1,,v England,Eden Gardens,22 Jan 2017,ODI # 3824
7,8.0,0,43,2,5.37,4,2,,v Pakistan,Birmingham,4 Jun 2017,ODI # 3878
8,7.0,1,51,0,7.28,4,2,,v Sri Lanka,The Oval,8 Jun 2017,ODI # 3882
9,10.0,0,52,1,5.20,4,1,,v South Africa,The Oval,11 Jun 2017,ODI # 3886
10,4.0,0,34,0,8.50,4,1,,v Bangladesh,Birmingham,15 Jun 2017,ODI # 3891
11,10.0,0,53,1,5.30,4,1,,v Pakistan,The Oval,18 Jun 2017,ODI # 3894
12,TDNB,-,-,-,-,-,-,,v West Indies,Port of Spain,23 Jun 2017,ODI # 3895
13,9.0,0,32,0,3.55,3,2,,v West Indies,Port of Spain,25 Jun 2017,ODI # 3896
14,6.0,0,32,2,5.33,3,2,,v West Indies,North Sound,30 Jun 2017,ODI # 3898
15,10.0,0,40,3,4.00,4,1,,v West Indies,North Sound,2 Jul 2017,ODI # 3900
16,6.0,0,27,1,4.50,3,1,,v West Indies,Kingston,6 Jul 2017,ODI # 3902
17,6.0,0,35,0,5.83,2,1,,v Sri Lanka,Dambulla,20 Aug 2017,ODI # 3905
18,5.2,0,24,1,4.50,4,1,,v Sri Lanka,Pallekele,24 Aug 2017,ODI # 3906
19,8.0,0,42,1,5.25,4,1,,v Sri Lanka,Pallekele,27 Aug 2017,ODI # 3907
20,8.0,0,50,2,6.25,3,2,,v Sri Lanka,Colombo (RPS),31 Aug 2017,ODI # 3908
21,4.0,0,28,2,7.00,3,2,,v Australia,Chennai,17 Sep 2017,ODI # 3910
22,10.0,0,56,2,5.60,3,2,,v Australia,Eden Gardens,21 Sep 2017,ODI # 3912
23,10.0,0,58,1,5.80,4,1,,v Australia,Indore,24 Sep 2017,ODI # 3914
24,5.0,0,32,0,6.40,4,1,,v Australia,Bengaluru,28 Sep 2017,ODI # 3917
25,2.0,0,14,1,7.00,3,1,,v Australia,Nagpur,1 Oct 2017,ODI # 3919
26,10.0,0,46,1,4.60,4,2,,v New Zealand,Wankhede,22 Oct 2017,ODI # 3928
27,4.0,0,23,1,5.75,4,1,,v New Zealand,Pune,25 Oct 2017,ODI # 3931
28,5.0,0,47,0,9.40,3,2,,v New Zealand,Kanpur,29 Oct 2017,ODI # 3932
29,5.0,0,39,1,7.80,3,2,,v Sri Lanka,Dharamsala,10 Dec 2017,ODI # 3939
30,10.0,0,39,1,3.90,2,2,,v Sri Lanka,Mohali,13 Dec 2017,ODI # 3941
31,10.0,1,49,2,4.90,3,1,,v Sri Lanka,Visakhapatnam,17 Dec 2017,ODI # 3942
32,7.0,0,41,0,5.85,3,1,,v South Africa,Durban,1 Feb 2018,ODI # 3969
33,5.0,0,34,0,6.80,3,1,,v South Africa,Centurion,4 Feb 2018,ODI # 3970
34,8.0,0,35,0,4.37,3,2,,v South Africa,Cape Town,7 Feb 2018,ODI # 3971
35,5.0,0,37,1,7.40,4,2,,v South Africa,Johannesburg,10 Feb 2018,ODI # 3973
36,9.0,0,30,2,3.33,3,2,,v South Africa,Gqeberha,13 Feb 2018,ODI # 3976
37,10.0,0,39,1,3.90,3,1,,v South Africa,Centurion,16 Feb 2018,ODI # 3978
38,7.0,0,47,0,6.71,4,1,,v England,Nottingham,12 Jul 2018,ODI # 4014
39,10.0,0,70,1,7.00,3,1,,v England,Lord's,14 Jul 2018,ODI # 4016
40,5.3,0,39,0,7.09,2,2,,v England,Leeds,17 Jul 2018,ODI # 4018
41,4.5,0,24,0,4.96,3,1,,v Pakistan,Dubai (DSC),19 Sep 2018,ODI # 4040
42,10.0,0,45,2,4.50,4,1,,v New Zealand,Mount Maunganui,28 Jan 2019,ODI # 4088
43,3.0,0,15,0,5.00,3,2,,v New Zealand,Hamilton,31 Jan 2019,ODI # 4091
44,8.0,1,50,2,6.25,3,2,,v New Zealand,Wellington,3 Feb 2019,ODI # 4092
45,6.0,0,31,0,5.16,3,1,,v South Africa,Southampton,5 Jun 2019,ODI # 4150
46,10.0,0,68,0,6.80,3,2,,v Australia,The Oval,9 Jun 2019,ODI # 4155
47,8.0,0,44,2,5.50,4,2,,v Pakistan,Manchester,16 Jun 2019,ODI # 4161
48,10.0,1,51,2,5.10,4,2,,v Afghanistan,Southampton,22 Jun 2019,ODI # 4169
49,5.0,0,28,1,5.60,3,2,,v West Indies,Manchester,27 Jun 2019,ODI # 4175
50,10.0,0,60,0,6.00,4,1,,v England,Birmingham,30 Jun 2019,ODI # 4179
51,10.0,0,60,3,6.00,5,2,,v Bangladesh,Birmingham,2 Jul 2019,ODI # 4182
52,10.0,0,50,1,5.00,3,1,,v Sri Lanka,Leeds,6 Jul 2019,ODI # 4187
53,10.0,0,55,1,5.50,3,1,,v New Zealand,Manchester,9 Jul 2019,ODI # 4190
54,DNB,-,-,-,-,-,1,,v Australia,Sydney,27 Nov 2020,ODI # 4265
55,4.0,0,24,1,6.00,7,1,,v Australia,Sydney,29 Nov 2020,ODI # 4266
56,DNB,-,-,-,-,-,2,,v Australia,Canberra,2 Dec 2020,ODI # 4267
57,DNB,-,-,-,-,-,2,,v England,Pune,23 Mar 2021,ODI # 4281
58,DNB,-,-,-,-,-,2,,v England,Pune,26 Mar 2021,ODI # 4283
59,9.0,0,48,0,5.33,5,2,,v England,Pune,28 Mar 2021,ODI # 4284
60,5.0,0,34,1,6.80,3,1,,v Sri Lanka,Colombo (RPS),18 Jul 2021,ODI # 4307
61,4.0,0,20,0,5.00,3,1,,v Sri Lanka,Colombo (RPS),20 Jul 2021,ODI # 4309
62,5.0,0,43,1,8.60,5,2,,v Sri Lanka,Colombo (RPS),23 Jul 2021,ODI # 4312
63,4.0,0,22,0,5.50,3,1,,v England,The Oval,12 Jul 2022,ODI # 4424
64,6.0,0,28,2,4.66,3,1,,v England,Lord's,14 Jul 2022,ODI # 4428
65,7.0,3,24,4,3.42,4,1,,v England,Manchester,17 Jul 2022,ODI # 4433
66,6.0,0,33,1,5.50,3,2,,v Sri Lanka,Guwahati,10 Jan 2023,ODI # 4501
67,5.0,0,26,0,5.20,3,1,,v Sri Lanka,Eden Gardens,12 Jan 2023,ODI # 4503
68,7.0,0,70,1,10.00,3,2,,v New Zealand,Hyderabad,18 Jan 2023,ODI # 4507
69,6.0,3,16,2,2.66,4,1,,v New Zealand,Raipur,21 Jan 2023,ODI # 4509
70,6.0,0,37,1,6.16,1,2,,v New Zealand,Indore,24 Jan 2023,ODI # 4511
71,5.0,0,29,1,5.80,3,1,,v Australia,Wankhede,17 Mar 2023,ODI # 4538
72,1.0,0,18,0,18.00,4,2,,v Australia,Visakhapatnam,19 Mar 2023,ODI # 4541
73,8.0,0,44,3,5.50,4,1,,v Australia,Chennai,22 Mar 2023,ODI # 4545
74,3.0,0,17,1,5.66,1,1,,v West Indies,Bridgetown,27 Jul 2023,ODI # 4622
75,6.4,0,38,0,5.70,1,2,,v West Indies,Bridgetown,29 Jul 2023,ODI # 4623
76,4.0,1,13,0,3.25,2,2,,v West Indies,Tarouba,1 Aug 2023,ODI # 4624
77,TDNB,-,-,-,-,-,-,,v Pakistan,Pallekele,2 Sep 2023,ODI # 4630
78,8.0,3,34,1,4.25,3,1,,v Nepal,Pallekele,4 Sep 2023,ODI # 4632
79,5.0,0,17,1,3.40,3,2,,v Pakistan,Colombo (RPS),10 Sep 2023,ODI # 4639
80,5.0,0,14,1,2.80,3,2,,v Sri Lanka,Colombo (RPS),12 Sep 2023,ODI # 4641
81,2.2,0,3,3,1.28,3,1,,v Sri Lanka,Colombo (RPS),17 Sep 2023,ODI # 4649
82,3.0,0,28,1,9.33,3,1,,v Australia,Chennai,8 Oct 2023,ODI # 4662
83,7.0,0,43,2,6.14,3,1,,v Afghanistan,Delhi,11 Oct 2023,ODI # 4666
84,6.0,0,34,2,5.66,3,1,,v Pakistan,Ahmedabad,14 Oct 2023,ODI # 4669
85,0.3,0,8,0,16.00,3,1,,v Bangladesh,Pune,19 Oct 2023,ODI # 4674
