,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Unnamed: 7,Opposition,Ground,Start Date,Unnamed: 11
0,DNB,-,-,-,-,-,1,,v Sri Lanka,Colombo (RPS),18 Jul 2021,ODI # 4307
1,DNB,-,-,-,-,-,1,,v Sri Lanka,Colombo (RPS),20 Jul 2021,ODI # 4309
2,DNB,-,-,-,-,-,1,,v West Indies,Ahmedabad,6 Feb 2022,ODI # 4353
3,DNB,-,-,-,-,-,1,,v Zimbabwe,Harare,18 Aug 2022,ODI # 4451
4,DNB,-,-,-,-,-,1,,v Zimbabwe,Harare,20 Aug 2022,ODI # 4454
5,DNB,-,-,-,-,-,2,,v Zimbabwe,Harare,22 Aug 2022,ODI # 4457
6,DNB,-,-,-,-,-,1,,v South Africa,Lucknow,6 Oct 2022,ODI # 4470
7,DNB,-,-,-,-,-,1,,v South Africa,Ranchi,9 Oct 2022,ODI # 4471
8,DNB,-,-,-,-,-,1,,v South Africa,Delhi,11 Oct 2022,ODI # 4472
9,DNB,-,-,-,-,-,2,,v Bangladesh,Chattogram,10 Dec 2022,ODI # 4499
10,DNB,-,-,-,-,-,2,,v New Zealand,Hyderabad,18 Jan 2023,ODI # 4507
11,DNB,-,-,-,-,-,1,,v New Zealand,Raipur,21 Jan 2023,ODI # 4509
12,DNB,-,-,-,-,-,2,,v New Zealand,Indore,24 Jan 2023,ODI # 4511
13,DNB,-,-,-,-,-,1,,v Australia,Wankhede,17 Mar 2023,ODI # 4538
14,DNB,-,-,-,-,-,1,,v West Indies,Bridgetown,27 Jul 2023,ODI # 4622
15,DNB,-,-,-,-,-,2,,v West Indies,Bridgetown,29 Jul 2023,ODI # 4623
16,DNB,-,-,-,-,-,2,,v West Indies,Tarouba,1 Aug 2023,ODI # 4624
17,TDNB,-,-,-,-,-,-,,v Pakistan,Pallekele,2 Sep 2023,ODI # 4630
18,DNB,-,-,-,-,-,1,,v Nepal,Pallekele,4 Sep 2023,ODI # 4632
19,DNB,-,-,-,-,-,2,,v Pakistan,Colombo (RPS),10 Sep 2023,ODI # 4639
20,DNB,-,-,-,-,-,2,,v Sri Lanka,Colombo (RPS),12 Sep 2023,ODI # 4641
21,DNB,-,-,-,-,-,1,,v Bangladesh,Colombo (RPS),15 Sep 2023,ODI # 4645
22,DNB,-,-,-,-,-,1,,v Sri Lanka,Colombo (RPS),17 Sep 2023,ODI # 4649
23,DNB,-,-,-,-,-,1,,v Australia,Mohali,22 Sep 2023,ODI # 4651
24,DNB,-,-,-,-,-,2,,v Australia,Indore,24 Sep 2023,ODI # 4654
25,DNB,-,-,-,-,-,1,,v Australia,Chennai,8 Oct 2023,ODI # 4662
26,DNB,-,-,-,-,-,1,,v Afghanistan,Delhi,11 Oct 2023,ODI # 4666
