,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Unnamed: 7,Opposition,Ground,Start Date,Unnamed: 11
0,10.0,0,76,0,7.60,3,1,,v Australia,Adelaide,15 Jan 2019,ODI # 4078
1,8.0,2,26,1,3.25,1,1,,v West Indies,Ahmedabad,6 Feb 2022,ODI # 4353
2,9.0,1,38,1,4.22,1,2,,v West Indies,Ahmedabad,9 Feb 2022,ODI # 4355
3,9.0,1,29,3,3.22,2,2,,v West Indies,Ahmedabad,11 Feb 2022,ODI # 4356
4,9.0,1,66,2,7.33,2,1,,v England,Manchester,17 Jul 2022,ODI # 4433
5,10.0,0,57,2,5.70,1,2,,v West Indies,Port of Spain,22 Jul 2022,ODI # 4436
6,10.0,1,46,0,4.60,1,1,,v West Indies,Port of Spain,24 Jul 2022,ODI # 4438
7,3.0,0,14,2,4.66,2,2,,v West Indies,Port of Spain,27 Jul 2022,ODI # 4439
8,8.0,2,36,1,4.50,2,1,,v Zimbabwe,Harare,18 Aug 2022,ODI # 4451
9,8.0,2,16,1,2.00,1,1,,v Zimbabwe,Harare,20 Aug 2022,ODI # 4454
10,8.0,0,49,0,6.12,1,1,,v South Africa,Lucknow,6 Oct 2022,ODI # 4470
11,10.0,1,38,3,3.80,1,1,,v South Africa,Ranchi,9 Oct 2022,ODI # 4471
12,5.0,0,17,2,3.40,2,1,,v South Africa,Delhi,11 Oct 2022,ODI # 4472
13,10.0,1,32,3,3.20,2,2,,v Bangladesh,Mirpur,4 Dec 2022,ODI # 4493
14,10.0,0,73,2,7.30,2,1,,v Bangladesh,Mirpur,7 Dec 2022,ODI # 4496
15,5.0,0,27,1,5.40,1,2,,v Bangladesh,Chattogram,10 Dec 2022,ODI # 4499
16,7.0,1,30,2,4.28,2,2,,v Sri Lanka,Guwahati,10 Jan 2023,ODI # 4501
17,5.4,0,30,3,5.29,2,1,,v Sri Lanka,Eden Gardens,12 Jan 2023,ODI # 4503
18,10.0,1,32,4,3.20,2,2,,v Sri Lanka,Thiruvananthapuram,15 Jan 2023,ODI # 4505
19,10.0,2,46,4,4.60,2,2,,v New Zealand,Hyderabad,18 Jan 2023,ODI # 4507
20,6.0,1,10,1,1.66,2,1,,v New Zealand,Raipur,21 Jan 2023,ODI # 4509
21,5.4,1,29,3,5.11,2,1,,v Australia,Wankhede,17 Mar 2023,ODI # 4538
22,3.0,0,37,0,12.33,2,2,,v Australia,Visakhapatnam,19 Mar 2023,ODI # 4541
23,7.0,1,37,2,5.28,2,1,,v Australia,Chennai,22 Mar 2023,ODI # 4545
24,TDNB,-,-,-,-,-,-,,v Pakistan,Pallekele,2 Sep 2023,ODI # 4630
25,9.2,1,61,3,6.53,2,1,,v Nepal,Pallekele,4 Sep 2023,ODI # 4632
26,5.0,0,23,0,4.60,2,2,,v Pakistan,Colombo (RPS),10 Sep 2023,ODI # 4639
27,5.0,2,17,1,3.40,2,2,,v Sri Lanka,Colombo (RPS),12 Sep 2023,ODI # 4641
28,7.0,1,21,6,3.00,2,1,,v Sri Lanka,Colombo (RPS),17 Sep 2023,ODI # 4649
29,9.0,0,68,1,7.55,2,1,,v Australia,Rajkot,27 Sep 2023,ODI # 4657
30,6.3,1,26,1,4.00,2,1,,v Australia,Chennai,8 Oct 2023,ODI # 4662
31,9.0,0,76,0,8.44,2,1,,v Afghanistan,Delhi,11 Oct 2023,ODI # 4666
32,8.0,0,50,2,6.25,2,1,,v Pakistan,Ahmedabad,14 Oct 2023,ODI # 4669
33,10.0,0,60,2,6.00,2,1,,v Bangladesh,Pune,19 Oct 2023,ODI # 4674
34,10.0,1,45,1,4.50,2,1,,v New Zealand,Dharamsala,22 Oct 2023,ODI # 4678
35,6.0,0,33,0,5.50,2,2,,v England,Lucknow,29 Oct 2023,ODI # 4686
36,7.0,2,16,3,2.28,2,2,,v Sri Lanka,Wankhede,2 Nov 2023,ODI # 4690
37,4.0,1,11,1,2.75,2,2,,v South Africa,Eden Gardens,5 Nov 2023,ODI # 4694
38,6.0,1,29,2,4.83,2,2,,v Netherlands,Bengaluru,12 Nov 2023,ODI # 4702
39,9.0,0,78,1,8.66,2,2,,v New Zealand,Wankhede,15 Nov 2023,ODI # 4703
40,7.0,0,45,1,6.42,5,2,,v Australia,Ahmedabad,19 Nov 2023,ODI # 4705
