,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Unnamed: 7,Opposition,Ground,Start Date,Unnamed: 11
0,10.0,0,50,2,5.00,3,2,,v Sri Lanka,Harare,5 Jun 2010,ODI # 2988
1,9.0,0,34,1,3.77,4,1,,v Australia,Visakhapatnam,20 Oct 2010,ODI # 3060
2,10.0,1,50,3,5.00,3,2,,v New Zealand,Guwahati,28 Nov 2010,ODI # 3070
3,10.0,0,52,1,5.20,4,1,,v New Zealand,Jaipur,1 Dec 2010,ODI # 3072
4,9.0,1,49,2,5.44,4,1,,v New Zealand,Vadodara,4 Dec 2010,ODI # 3074
5,10.0,0,66,2,6.60,3,1,,v New Zealand,Bengaluru,7 Dec 2010,ODI # 3076
6,8.0,1,24,3,3.00,4,1,,v New Zealand,Chennai,10 Dec 2010,ODI # 3077
7,10.0,0,41,2,4.10,1,2,,v West Indies,Chennai,20 Mar 2011,ODI # 3141
8,10.0,0,52,2,5.20,1,1,,v Australia,Ahmedabad,24 Mar 2011,ODI # 3143
9,10.0,1,39,1,3.90,3,1,,v West Indies,North Sound,13 Jun 2011,ODI # 3162
10,10.0,1,50,0,5.00,4,2,,v West Indies,Kingston,16 Jun 2011,ODI # 3163
11,DNB,-,-,-,-,-,2,,v England,Chester-le-Street,3 Sep 2011,ODI # 3186
12,5.0,0,42,2,8.40,3,2,,v England,Southampton,6 Sep 2011,ODI # 3187
13,9.0,0,40,3,4.44,5,2,,v England,The Oval,9 Sep 2011,ODI # 3189
14,10.0,0,44,1,4.40,4,2,,v England,Lord's,11 Sep 2011,ODI # 3191
15,4.0,0,25,0,6.25,4,2,,v England,Cardiff,16 Sep 2011,ODI # 3195
16,8.1,0,35,3,4.28,5,2,,v England,Hyderabad,14 Oct 2011,ODI # 3199
17,10.0,0,56,1,5.60,5,1,,v England,Delhi,17 Oct 2011,ODI # 3201
18,10.0,0,45,0,4.50,5,1,,v England,Mohali,20 Oct 2011,ODI # 3205
19,10.0,0,38,3,3.80,3,1,,v England,Wankhede,23 Oct 2011,ODI # 3207
20,9.0,0,28,3,3.11,3,2,,v England,Eden Gardens,25 Oct 2011,ODI # 3210
21,10.0,1,30,1,3.00,4,1,,v West Indies,Cuttack,29 Nov 2011,ODI # 3217
22,10.0,0,74,1,7.40,5,1,,v West Indies,Visakhapatnam,2 Dec 2011,ODI # 3219
23,10.0,0,33,1,3.30,5,1,,v West Indies,Ahmedabad,5 Dec 2011,ODI # 3221
24,10.0,0,59,1,5.90,2,2,,v West Indies,Indore,8 Dec 2011,ODI # 3223
25,5.0,0,48,0,9.60,5,1,,v Australia,Melbourne,5 Feb 2012,ODI # 3231
26,10.0,1,32,3,3.20,5,1,,v Sri Lanka,Perth,8 Feb 2012,ODI # 3233
27,8.0,0,47,0,5.87,5,1,,v Australia,Adelaide,12 Feb 2012,ODI # 3237
28,10.0,1,30,2,3.00,4,1,,v Sri Lanka,Adelaide,14 Feb 2012,ODI # 3239
29,10.0,0,50,2,5.00,5,1,,v Sri Lanka,Brisbane,21 Feb 2012,ODI # 3246
30,10.0,0,45,0,4.50,3,1,,v Australia,Sydney,26 Feb 2012,ODI # 3250
31,10.0,0,52,0,5.20,5,1,,v Sri Lanka,Hobart,28 Feb 2012,ODI # 3251
32,9.0,0,39,3,4.33,6,2,,v Sri Lanka,Mirpur,13 Mar 2012,ODI # 3259
33,10.0,0,56,1,5.60,6,2,,v Bangladesh,Mirpur,16 Mar 2012,ODI # 3261
34,10.0,0,56,1,5.60,7,1,,v Pakistan,Mirpur,18 Mar 2012,ODI # 3263
35,10.0,1,46,2,4.60,4,2,,v Sri Lanka,Hambantota,21 Jul 2012,ODI # 3291
36,5.0,1,18,1,3.60,4,2,,v Sri Lanka,Hambantota,24 Jul 2012,ODI # 3292
37,10.0,0,50,0,5.00,5,1,,v Sri Lanka,Colombo (RPS),28 Jul 2012,ODI # 3293
38,10.0,1,46,2,4.60,6,1,,v Sri Lanka,Colombo (RPS),31 Jul 2012,ODI # 3294
39,9.0,0,37,0,4.11,5,2,,v Sri Lanka,Pallekele,4 Aug 2012,ODI # 3295
40,10.0,0,34,0,3.40,4,2,,v Pakistan,Chennai,30 Dec 2012,ODI # 3314
41,10.0,0,49,1,4.90,4,1,,v Pakistan,Eden Gardens,3 Jan 2013,ODI # 3315
42,10.0,1,47,2,4.70,4,2,,v Pakistan,Delhi,6 Jan 2013,ODI # 3316
43,9.0,0,61,0,6.77,4,1,,v England,Rajkot,11 Jan 2013,ODI # 3318
44,7.0,0,39,3,5.57,6,2,,v England,Kochi,15 Jan 2013,ODI # 3320
45,10.0,0,37,2,3.70,5,1,,v England,Ranchi,19 Jan 2013,ODI # 3322
46,10.0,0,63,2,6.30,4,1,,v England,Mohali,23 Jan 2013,ODI # 3327
47,10.0,0,50,0,5.00,4,2,,v England,Dharamsala,27 Jan 2013,ODI # 3329
48,10.0,0,47,0,4.70,4,2,,v South Africa,Cardiff,6 Jun 2013,ODI # 3363
49,9.0,2,36,1,4.00,4,1,,v West Indies,The Oval,11 Jun 2013,ODI # 3368
50,8.0,0,35,2,4.37,4,1,,v Pakistan,Birmingham,15 Jun 2013,ODI # 3372
51,10.0,1,48,3,4.80,6,1,,v Sri Lanka,Cardiff,20 Jun 2013,ODI # 3376
52,4.0,1,15,2,3.75,4,2,,v England,Birmingham,23 Jun 2013,ODI # 3377
53,10.0,0,44,2,4.40,5,2,,v West Indies,Kingston,30 Jun 2013,ODI # 3380
54,10.0,0,67,1,6.70,5,1,,v Sri Lanka,Kingston,2 Jul 2013,ODI # 3382
55,4.0,0,25,0,6.25,5,2,,v West Indies,Port of Spain,5 Jul 2013,ODI # 3383
56,5.0,0,20,1,4.00,5,2,,v Sri Lanka,Port of Spain,9 Jul 2013,ODI # 3387
57,10.0,0,42,2,4.20,6,1,,v Sri Lanka,Port of Spain,11 Jul 2013,ODI # 3388
58,10.0,0,55,2,5.50,4,1,,v Australia,Pune,13 Oct 2013,ODI # 3419
59,8.0,0,50,1,6.25,5,1,,v Australia,Jaipur,16 Oct 2013,ODI # 3420
60,9.0,0,58,0,6.44,6,2,,v Australia,Mohali,19 Oct 2013,ODI # 3421
61,9.0,0,57,2,6.33,4,1,,v Australia,Ranchi,23 Oct 2013,ODI # 3422
62,10.0,0,64,2,6.40,4,1,,v Australia,Nagpur,30 Oct 2013,ODI # 3424
63,10.0,0,51,2,5.10,4,2,,v Australia,Bengaluru,2 Nov 2013,ODI # 3428
64,9.5,0,42,2,4.27,6,1,,v West Indies,Kochi,21 Nov 2013,ODI # 3436
65,10.0,1,37,2,3.70,4,2,,v West Indies,Visakhapatnam,24 Nov 2013,ODI # 3437
66,10.0,0,45,2,4.50,4,1,,v West Indies,Kanpur,27 Nov 2013,ODI # 3439
67,10.0,0,58,0,5.80,4,1,,v South Africa,Johannesburg,5 Dec 2013,ODI # 3442
68,9.0,0,48,1,5.33,4,1,,v South Africa,Durban,8 Dec 2013,ODI # 3443
69,9.0,0,63,0,7.00,4,1,,v South Africa,Centurion,11 Dec 2013,ODI # 3444
70,10.0,0,52,0,5.20,5,1,,v New Zealand,Napier,19 Jan 2014,ODI # 3456
71,8.0,0,50,0,6.25,6,1,,v New Zealand,Hamilton,22 Jan 2014,ODI # 3458
72,10.0,0,47,1,4.70,5,1,,v New Zealand,Auckland,25 Jan 2014,ODI # 3462
73,10.0,0,41,0,4.10,5,2,,v New Zealand,Hamilton,28 Jan 2014,ODI # 3465
74,6.0,0,37,0,6.16,4,1,,v New Zealand,Wellington,31 Jan 2014,ODI # 3467
75,10.0,1,50,1,5.00,4,1,,v Bangladesh,Fatullah,26 Feb 2014,ODI # 3474
76,10.0,0,42,2,4.20,3,2,,v Sri Lanka,Fatullah,28 Feb 2014,ODI # 3476
77,9.4,0,44,3,4.55,3,2,,v Pakistan,Mirpur,2 Mar 2014,ODI # 3479
78,10.0,3,31,3,3.10,5,1,,v Afghanistan,Mirpur,5 Mar 2014,ODI # 3483
79,9.1,0,38,2,4.14,4,2,,v England,Cardiff,27 Aug 2014,ODI # 3517
80,10.0,0,39,3,3.90,4,1,,v England,Nottingham,30 Aug 2014,ODI # 3520
81,10.0,0,48,1,4.80,4,1,,v England,Birmingham,2 Sep 2014,ODI # 3523
82,10.0,2,49,1,4.90,4,1,,v England,Leeds,5 Sep 2014,ODI # 3525
83,9.0,0,52,1,5.77,5,2,,v Sri Lanka,Cuttack,2 Nov 2014,ODI # 3539
84,10.0,1,49,2,4.90,3,1,,v Sri Lanka,Ahmedabad,6 Nov 2014,ODI # 3540
85,10.0,0,43,1,4.30,5,1,,v Sri Lanka,Hyderabad,9 Nov 2014,ODI # 3543
86,10.0,1,56,2,5.60,4,1,,v Sri Lanka,Ranchi,16 Nov 2014,ODI # 3547
87,9.0,0,54,1,6.00,5,2,,v Australia,Melbourne,18 Jan 2015,ODI # 3582
88,8.0,3,41,1,5.12,5,2,,v Pakistan,Adelaide,15 Feb 2015,ODI # 3602
89,10.0,0,41,3,4.10,5,2,,v South Africa,Melbourne,22 Feb 2015,ODI # 3610
90,10.0,1,25,4,2.50,3,1,,v U.A.E.,Perth,28 Feb 2015,ODI # 3618
91,9.0,0,38,1,4.22,3,1,,v West Indies,Perth,6 Mar 2015,ODI # 3625
92,10.0,1,38,2,3.80,5,1,,v Ireland,Hamilton,10 Mar 2015,ODI # 3631
93,10.0,0,75,1,7.50,4,1,,v Zimbabwe,Auckland,14 Mar 2015,ODI # 3636
94,10.0,1,30,0,3.00,4,2,,v Bangladesh,Melbourne,19 Mar 2015,ODI # 3641
95,10.0,0,42,1,4.20,6,1,,v Australia,Sydney,26 Mar 2015,ODI # 3645
96,10.0,0,51,3,5.10,3,1,,v Bangladesh,Mirpur,18 Jun 2015,ODI # 3658
97,10.0,2,32,1,3.20,3,2,,v Bangladesh,Mirpur,21 Jun 2015,ODI # 3660
98,10.0,1,35,2,3.50,4,2,,v Bangladesh,Mirpur,24 Jun 2015,ODI # 3661
99,4.4,0,14,1,3.00,3,1,,v South Africa,Kanpur,11 Oct 2015,ODI # 3689
100,9.0,0,68,2,7.55,6,2,,v Australia,Perth,12 Jan 2016,ODI # 3723
101,10.0,0,60,0,6.00,5,2,,v Australia,Brisbane,15 Jan 2016,ODI # 3724
102,8.0,0,63,0,7.87,5,1,,v England,Pune,15 Jan 2017,ODI # 3819
103,10.0,0,65,3,6.50,5,2,,v England,Cuttack,19 Jan 2017,ODI # 3821
104,9.0,0,60,0,6.66,6,1,,v England,Eden Gardens,22 Jan 2017,ODI # 3824
105,9.0,0,43,1,4.77,3,1,,v South Africa,The Oval,11 Jun 2017,ODI # 3886
106,10.0,0,54,0,5.40,3,1,,v Bangladesh,Birmingham,15 Jun 2017,ODI # 3891
107,10.0,0,70,0,7.00,3,1,,v Pakistan,The Oval,18 Jun 2017,ODI # 3894
108,TDNB,-,-,-,-,-,-,,v West Indies,Port of Spain,23 Jun 2017,ODI # 3895
109,9.0,0,47,1,5.22,4,2,,v West Indies,Port of Spain,25 Jun 2017,ODI # 3896
110,10.0,1,28,3,2.80,5,2,,v West Indies,North Sound,30 Jun 2017,ODI # 3898
111,10.0,0,53,1,5.30,4,1,,v South Africa,Paarl,19 Jan 2022,ODI # 4344
112,10.0,1,68,0,6.80,3,2,,v South Africa,Paarl,21 Jan 2022,ODI # 4346
113,10.0,0,47,1,4.70,4,1,,v Australia,Mohali,22 Sep 2023,ODI # 4651
114,7.0,0,41,3,5.85,3,2,,v Australia,Indore,24 Sep 2023,ODI # 4654
115,10.0,1,34,1,3.40,4,1,,v Australia,Chennai,8 Oct 2023,ODI # 4662
