,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Unnamed: 7,Opposition,Ground,Start Date,Unnamed: 11
0,DNB,-,-,-,-,-,1,,v Ireland,Belfast,23 Jun 2007,ODI # 2590
1,1.0,0,3,0,3.00,7,2,,v South Africa,Belfast,26 Jun 2007,ODI # 2592
2,DNB,-,-,-,-,-,1,,v Australia,Hyderabad,5 Oct 2007,ODI # 2625
3,DNB,-,-,-,-,-,1,,v Pakistan,Jaipur,18 Nov 2007,ODI # 2647
4,DNB,-,-,-,-,-,2,,v Australia,Brisbane,3 Feb 2008,ODI # 2670
5,TDNB,-,-,-,-,-,-,,v Sri Lanka,Brisbane,5 Feb 2008,ODI # 2672
6,DNB,-,-,-,-,-,1,,v Australia,Melbourne,10 Feb 2008,ODI # 2675
7,DNB,-,-,-,-,-,2,,v Sri Lanka,Canberra,12 Feb 2008,ODI # 2676
8,DNB,-,-,-,-,-,1,,v Australia,Adelaide,17 Feb 2008,ODI # 2680
9,DNB,-,-,-,-,-,1,,v Sri Lanka,Adelaide,19 Feb 2008,ODI # 2681
10,DNB,-,-,-,-,-,1,,v Australia,Sydney,24 Feb 2008,ODI # 2685
11,DNB,-,-,-,-,-,1,,v Sri Lanka,Hobart,26 Feb 2008,ODI # 2686
12,1.0,0,5,0,5.00,7,1,,v Australia,Sydney,2 Mar 2008,ODI # 2688
13,DNB,-,-,-,-,-,2,,v Australia,Brisbane,4 Mar 2008,ODI # 2689
14,DNB,-,-,-,-,-,2,,v Pakistan,Mirpur,10 Jun 2008,ODI # 2705
15,DNB,-,-,-,-,-,1,,v Bangladesh,Mirpur,12 Jun 2008,ODI # 2706
16,DNB,-,-,-,-,-,1,,v Pakistan,Mirpur,14 Jun 2008,ODI # 2707
17,DNB,-,-,-,-,-,2,,v Hong Kong,Karachi,25 Jun 2008,ODI # 2716
18,DNB,-,-,-,-,-,1,,v Pakistan,Karachi,26 Jun 2008,ODI # 2717
19,DNB,-,-,-,-,-,1,,v Bangladesh,Karachi,28 Jun 2008,ODI # 2721
20,DNB,-,-,-,-,-,2,,v Pakistan,Karachi,2 Jul 2008,ODI # 2730
21,1.0,0,4,0,4.00,7,1,,v Sri Lanka,Karachi,3 Jul 2008,ODI # 2732
22,3.0,0,11,0,3.66,6,1,,v Sri Lanka,Karachi,6 Jul 2008,ODI # 2735
23,2.5,0,11,0,3.88,6,2,,v Sri Lanka,Dambulla,18 Aug 2008,ODI # 2742
24,DNB,-,-,-,-,-,1,,v Sri Lanka,Dambulla,20 Aug 2008,ODI # 2745
25,1.0,0,9,0,9.00,6,2,,v Sri Lanka,Colombo (RPS),24 Aug 2008,ODI # 2750
26,4.0,1,13,0,3.25,6,2,,v Sri Lanka,Colombo (RPS),27 Aug 2008,ODI # 2755
