,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Unnamed: 7,Opposition,Ground,Start Date,Unnamed: 11
0,DNB,-,-,-,-,-,1,,v Sri Lanka,Colombo (RPS),18 Jul 2021,ODI # 4307
1,DNB,-,-,-,-,-,1,,v Sri Lanka,Colombo (RPS),20 Jul 2021,ODI # 4309
2,DNB,-,-,-,-,-,2,,v Sri Lanka,Colombo (RPS),23 Jul 2021,ODI # 4312
3,DNB,-,-,-,-,-,1,,v South Africa,Cape Town,23 Jan 2022,ODI # 4349
4,DNB,-,-,-,-,-,1,,v West Indies,Ahmedabad,6 Feb 2022,ODI # 4353
5,DNB,-,-,-,-,-,2,,v West Indies,Ahmedabad,9 Feb 2022,ODI # 4355
6,DNB,-,-,-,-,-,2,,v West Indies,Ahmedabad,11 Feb 2022,ODI # 4356
7,DNB,-,-,-,-,-,1,,v England,The Oval,12 Jul 2022,ODI # 4424
8,DNB,-,-,-,-,-,1,,v England,Lord's,14 Jul 2022,ODI # 4428
9,DNB,-,-,-,-,-,1,,v England,Manchester,17 Jul 2022,ODI # 4433
10,DNB,-,-,-,-,-,2,,v West Indies,Port of Spain,22 Jul 2022,ODI # 4436
11,DNB,-,-,-,-,-,1,,v West Indies,Port of Spain,24 Jul 2022,ODI # 4438
12,DNB,-,-,-,-,-,2,,v West Indies,Port of Spain,27 Jul 2022,ODI # 4439
13,DNB,-,-,-,-,-,2,,v New Zealand,Auckland,25 Nov 2022,ODI # 4483
14,TDNB,-,-,-,-,-,-,,v New Zealand,Hamilton,27 Nov 2022,ODI # 4487
15,DNB,-,-,-,-,-,2,,v New Zealand,Christchurch,30 Nov 2022,ODI # 4489
16,DNB,-,-,-,-,-,2,,v Sri Lanka,Thiruvananthapuram,15 Jan 2023,ODI # 4505
17,DNB,-,-,-,-,-,2,,v New Zealand,Hyderabad,18 Jan 2023,ODI # 4507
18,DNB,-,-,-,-,-,1,,v New Zealand,Raipur,21 Jan 2023,ODI # 4509
19,DNB,-,-,-,-,-,2,,v New Zealand,Indore,24 Jan 2023,ODI # 4511
20,DNB,-,-,-,-,-,1,,v Australia,Wankhede,17 Mar 2023,ODI # 4538
21,DNB,-,-,-,-,-,2,,v Australia,Visakhapatnam,19 Mar 2023,ODI # 4541
22,DNB,-,-,-,-,-,1,,v Australia,Chennai,22 Mar 2023,ODI # 4545
23,DNB,-,-,-,-,-,1,,v West Indies,Bridgetown,27 Jul 2023,ODI # 4622
24,DNB,-,-,-,-,-,2,,v West Indies,Bridgetown,29 Jul 2023,ODI # 4623
25,DNB,-,-,-,-,-,2,,v West Indies,Tarouba,1 Aug 2023,ODI # 4624
26,DNB,-,-,-,-,-,1,,v Bangladesh,Colombo (RPS),15 Sep 2023,ODI # 4645
27,DNB,-,-,-,-,-,1,,v Australia,Mohali,22 Sep 2023,ODI # 4651
28,DNB,-,-,-,-,-,2,,v Australia,Indore,24 Sep 2023,ODI # 4654
29,DNB,-,-,-,-,-,1,,v Australia,Rajkot,27 Sep 2023,ODI # 4657
30,DNB,-,-,-,-,-,1,,v New Zealand,Dharamsala,22 Oct 2023,ODI # 4678
31,DNB,-,-,-,-,-,2,,v England,Lucknow,29 Oct 2023,ODI # 4686
32,DNB,-,-,-,-,-,2,,v Sri Lanka,Wankhede,2 Nov 2023,ODI # 4690
33,DNB,-,-,-,-,-,2,,v South Africa,Eden Gardens,5 Nov 2023,ODI # 4694
34,2.0,0,17,0,8.50,8,2,,v Netherlands,Bengaluru,12 Nov 2023,ODI # 4702
35,DNB,-,-,-,-,-,2,,v New Zealand,Wankhede,15 Nov 2023,ODI # 4703
36,DNB,-,-,-,-,-,2,,v Australia,Ahmedabad,19 Nov 2023,ODI # 4705
