,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Unnamed: 7,Opposition,Ground,Start Date,Unnamed: 11
0,DNB,-,-,-,-,-,2,,v New Zealand,Hamilton,31 Jan 2019,ODI # 4091
1,DNB,-,-,-,-,-,2,,v New Zealand,Wellington,3 Feb 2019,ODI # 4092
2,DNB,-,-,-,-,-,2,,v Australia,Canberra,2 Dec 2020,ODI # 4267
3,DNB,-,-,-,-,-,2,,v West Indies,Port of Spain,22 Jul 2022,ODI # 4436
4,DNB,-,-,-,-,-,1,,v West Indies,Port of Spain,24 Jul 2022,ODI # 4438
5,DNB,-,-,-,-,-,2,,v West Indies,Port of Spain,27 Jul 2022,ODI # 4439
6,DNB,-,-,-,-,-,1,,v Zimbabwe,Harare,18 Aug 2022,ODI # 4451
7,DNB,-,-,-,-,-,1,,v Zimbabwe,Harare,20 Aug 2022,ODI # 4454
8,DNB,-,-,-,-,-,2,,v Zimbabwe,Harare,22 Aug 2022,ODI # 4457
9,DNB,-,-,-,-,-,1,,v South Africa,Lucknow,6 Oct 2022,ODI # 4470
10,DNB,-,-,-,-,-,1,,v South Africa,Ranchi,9 Oct 2022,ODI # 4471
11,DNB,-,-,-,-,-,1,,v South Africa,Delhi,11 Oct 2022,ODI # 4472
12,DNB,-,-,-,-,-,2,,v New Zealand,Auckland,25 Nov 2022,ODI # 4483
13,TDNB,-,-,-,-,-,-,,v New Zealand,Hamilton,27 Nov 2022,ODI # 4487
14,DNB,-,-,-,-,-,2,,v New Zealand,Christchurch,30 Nov 2022,ODI # 4489
15,DNB,-,-,-,-,-,2,,v Sri Lanka,Guwahati,10 Jan 2023,ODI # 4501
16,DNB,-,-,-,-,-,1,,v Sri Lanka,Eden Gardens,12 Jan 2023,ODI # 4503
17,DNB,-,-,-,-,-,2,,v Sri Lanka,Thiruvananthapuram,15 Jan 2023,ODI # 4505
18,DNB,-,-,-,-,-,2,,v New Zealand,Hyderabad,18 Jan 2023,ODI # 4507
19,DNB,-,-,-,-,-,1,,v New Zealand,Raipur,21 Jan 2023,ODI # 4509
20,DNB,-,-,-,-,-,2,,v New Zealand,Indore,24 Jan 2023,ODI # 4511
21,DNB,-,-,-,-,-,1,,v Australia,Wankhede,17 Mar 2023,ODI # 4538
22,DNB,-,-,-,-,-,2,,v Australia,Visakhapatnam,19 Mar 2023,ODI # 4541
23,DNB,-,-,-,-,-,1,,v Australia,Chennai,22 Mar 2023,ODI # 4545
24,DNB,-,-,-,-,-,1,,v West Indies,Bridgetown,27 Jul 2023,ODI # 4622
25,DNB,-,-,-,-,-,2,,v West Indies,Bridgetown,29 Jul 2023,ODI # 4623
26,DNB,-,-,-,-,-,2,,v West Indies,Tarouba,1 Aug 2023,ODI # 4624
27,TDNB,-,-,-,-,-,-,,v Pakistan,Pallekele,2 Sep 2023,ODI # 4630
28,DNB,-,-,-,-,-,1,,v Nepal,Pallekele,4 Sep 2023,ODI # 4632
29,DNB,-,-,-,-,-,2,,v Pakistan,Colombo (RPS),10 Sep 2023,ODI # 4639
30,DNB,-,-,-,-,-,2,,v Sri Lanka,Colombo (RPS),12 Sep 2023,ODI # 4641
31,DNB,-,-,-,-,-,1,,v Bangladesh,Colombo (RPS),15 Sep 2023,ODI # 4645
32,DNB,-,-,-,-,-,1,,v Sri Lanka,Colombo (RPS),17 Sep 2023,ODI # 4649
33,DNB,-,-,-,-,-,1,,v Australia,Mohali,22 Sep 2023,ODI # 4651
34,DNB,-,-,-,-,-,2,,v Australia,Indore,24 Sep 2023,ODI # 4654
35,DNB,-,-,-,-,-,1,,v Pakistan,Ahmedabad,14 Oct 2023,ODI # 4669
36,DNB,-,-,-,-,-,1,,v Bangladesh,Pune,19 Oct 2023,ODI # 4674
37,DNB,-,-,-,-,-,1,,v New Zealand,Dharamsala,22 Oct 2023,ODI # 4678
38,DNB,-,-,-,-,-,2,,v England,Lucknow,29 Oct 2023,ODI # 4686
39,DNB,-,-,-,-,-,2,,v Sri Lanka,Wankhede,2 Nov 2023,ODI # 4690
40,DNB,-,-,-,-,-,2,,v South Africa,Eden Gardens,5 Nov 2023,ODI # 4694
41,2.0,0,11,0,5.50,7,2,,v Netherlands,Bengaluru,12 Nov 2023,ODI # 4702
42,DNB,-,-,-,-,-,2,,v New Zealand,Wankhede,15 Nov 2023,ODI # 4703
43,DNB,-,-,-,-,-,2,,v Australia,Ahmedabad,19 Nov 2023,ODI # 4705
