,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Unnamed: 7,Opposition,Ground,Start Date,Unnamed: 11
0,7.0,0,26,1,3.71,1,2,,v Sri Lanka,Colombo (RPS),31 Aug 2017,ODI # 3908
1,6.0,0,48,0,8.00,2,1,,v Sri Lanka,Colombo (RPS),3 Sep 2017,ODI # 3909
2,8.5,0,52,4,5.88,1,1,,v South Africa,Centurion,16 Feb 2018,ODI # 3978
3,10.0,0,51,1,5.10,3,2,,v England,Leeds,17 Jul 2018,ODI # 4018
4,4.0,0,41,0,10.25,3,2,,v Hong Kong,Dubai (DSC),18 Sep 2018,ODI # 4039
5,8.0,0,55,1,6.87,2,2,,v West Indies,Visakhapatnam,18 Dec 2019,ODI # 4222
6,10.0,0,66,1,6.60,1,1,,v West Indies,Cuttack,22 Dec 2019,ODI # 4223
7,5.0,0,43,0,8.60,3,2,,v Australia,Wankhede,14 Jan 2020,ODI # 4231
8,9.0,0,80,1,8.88,3,2,,v New Zealand,Hamilton,5 Feb 2020,ODI # 4235
9,10.0,1,60,2,6.00,1,1,,v New Zealand,Auckland,8 Feb 2020,ODI # 4239
10,9.1,0,87,1,9.49,4,2,,v New Zealand,Mount Maunganui,11 Feb 2020,ODI # 4243
11,10.0,1,51,3,5.10,3,2,,v Australia,Canberra,2 Dec 2020,ODI # 4267
12,6.0,0,37,3,6.16,3,2,,v England,Pune,23 Mar 2021,ODI # 4281
13,7.3,0,54,0,7.20,3,2,,v England,Pune,26 Mar 2021,ODI # 4283
14,10.0,0,67,4,6.70,4,2,,v England,Pune,28 Mar 2021,ODI # 4284
15,10.0,1,72,0,7.20,3,1,,v South Africa,Paarl,19 Jan 2022,ODI # 4344
16,5.0,0,35,1,7.00,5,2,,v South Africa,Paarl,21 Jan 2022,ODI # 4346
17,7.0,0,38,0,5.42,4,1,,v West Indies,Ahmedabad,6 Feb 2022,ODI # 4353
18,9.0,1,41,2,4.55,2,2,,v West Indies,Ahmedabad,9 Feb 2022,ODI # 4355
19,8.0,0,54,2,6.75,3,2,,v West Indies,Port of Spain,22 Jul 2022,ODI # 4436
20,7.0,0,54,3,7.71,3,1,,v West Indies,Port of Spain,24 Jul 2022,ODI # 4438
21,5.0,0,17,2,3.40,6,2,,v West Indies,Port of Spain,27 Jul 2022,ODI # 4439
22,7.0,0,38,3,5.42,3,1,,v Zimbabwe,Harare,20 Aug 2022,ODI # 4454
23,9.0,0,55,1,6.11,3,2,,v Zimbabwe,Harare,22 Aug 2022,ODI # 4457
24,8.0,1,35,2,4.37,3,1,,v South Africa,Lucknow,6 Oct 2022,ODI # 4470
25,5.0,0,36,1,7.20,6,1,,v South Africa,Ranchi,9 Oct 2022,ODI # 4471
26,2.0,0,8,0,4.00,5,1,,v South Africa,Delhi,11 Oct 2022,ODI # 4472
27,9.0,1,63,1,7.00,2,2,,v New Zealand,Auckland,25 Nov 2022,ODI # 4483
28,9.0,1,21,1,2.33,6,2,,v Bangladesh,Mirpur,4 Dec 2022,ODI # 4493
29,10.0,1,47,0,4.70,3,1,,v Bangladesh,Mirpur,7 Dec 2022,ODI # 4496
30,5.0,0,30,3,6.00,2,2,,v Bangladesh,Chattogram,10 Dec 2022,ODI # 4499
31,7.2,0,54,2,7.36,5,2,,v New Zealand,Hyderabad,18 Jan 2023,ODI # 4507
32,6.0,1,26,1,4.33,3,1,,v New Zealand,Raipur,21 Jan 2023,ODI # 4509
33,6.0,0,45,3,7.50,3,2,,v New Zealand,Indore,24 Jan 2023,ODI # 4511
34,2.0,0,12,0,6.00,4,1,,v Australia,Wankhede,17 Mar 2023,ODI # 4538
35,3.0,1,14,1,4.66,3,1,,v West Indies,Bridgetown,27 Jul 2023,ODI # 4622
36,8.0,0,42,3,5.25,4,2,,v West Indies,Bridgetown,29 Jul 2023,ODI # 4623
37,6.3,0,37,4,5.69,3,2,,v West Indies,Tarouba,1 Aug 2023,ODI # 4624
38,TDNB,-,-,-,-,-,-,,v Pakistan,Pallekele,2 Sep 2023,ODI # 4630
39,4.0,0,26,1,6.50,4,1,,v Nepal,Pallekele,4 Sep 2023,ODI # 4632
40,4.0,0,16,1,4.00,4,2,,v Pakistan,Colombo (RPS),10 Sep 2023,ODI # 4639
41,10.0,0,65,3,6.50,2,1,,v Bangladesh,Colombo (RPS),15 Sep 2023,ODI # 4645
42,10.0,0,78,0,7.80,3,1,,v Australia,Mohali,22 Sep 2023,ODI # 4651
43,4.0,0,35,0,8.75,4,2,,v Australia,Indore,24 Sep 2023,ODI # 4654
44,6.0,0,31,1,5.16,4,1,,v Afghanistan,Delhi,11 Oct 2023,ODI # 4666
45,2.0,0,12,0,6.00,6,1,,v Pakistan,Ahmedabad,14 Oct 2023,ODI # 4669
46,9.0,0,59,1,6.55,5,1,,v Bangladesh,Pune,19 Oct 2023,ODI # 4674
