,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Unnamed: 7,Opposition,Ground,Start Date,Unnamed: 11
0,DNB,-,-,-,-,-,2,,v Sri Lanka,Dambulla,18 Aug 2008,ODI # 2742
1,DNB,-,-,-,-,-,1,,v Sri Lanka,Dambulla,20 Aug 2008,ODI # 2745
2,DNB,-,-,-,-,-,2,,v Sri Lanka,Colombo (RPS),24 Aug 2008,ODI # 2750
3,DNB,-,-,-,-,-,2,,v Sri Lanka,Colombo (RPS),27 Aug 2008,ODI # 2755
4,DNB,-,-,-,-,-,1,,v Sri Lanka,Colombo (RPS),29 Aug 2008,ODI # 2756
5,DNB,-,-,-,-,-,2,,v Sri Lanka,Colombo (RPS),14 Sep 2009,ODI # 2889
6,3.0,0,21,0,7.00,4,1,,v Pakistan,Centurion,26 Sep 2009,ODI # 2898
7,DNB,-,-,-,-,-,1,,v Australia,Centurion,28 Sep 2009,ODI # 2901
8,DNB,-,-,-,-,-,1,,v West Indies,Johannesburg,30 Sep 2009,ODI # 2904
9,DNB,-,-,-,-,-,1,,v Australia,Vadodara,25 Oct 2009,ODI # 2913
10,DNB,-,-,-,-,-,1,,v Australia,Mohali,2 Nov 2009,ODI # 2919
11,DNB,-,-,-,-,-,2,,v Sri Lanka,Rajkot,15 Dec 2009,ODI # 2932
12,DNB,-,-,-,-,-,2,,v Sri Lanka,Nagpur,18 Dec 2009,ODI # 2933
13,DNB,-,-,-,-,-,1,,v Sri Lanka,Eden Gardens,24 Dec 2009,ODI # 2935
14,DNB,-,-,-,-,-,1,,v Sri Lanka,Delhi,27 Dec 2009,ODI # 2936
15,DNB,-,-,-,-,-,2,,v Sri Lanka,Mirpur,5 Jan 2010,ODI # 2938
16,DNB,-,-,-,-,-,1,,v Bangladesh,Mirpur,7 Jan 2010,ODI # 2939
17,DNB,-,-,-,-,-,1,,v Sri Lanka,Mirpur,10 Jan 2010,ODI # 2941
18,DNB,-,-,-,-,-,1,,v Bangladesh,Mirpur,11 Jan 2010,ODI # 2942
19,1.4,0,12,0,7.20,3,2,,v Sri Lanka,Mirpur,13 Jan 2010,ODI # 2943
20,DNB,-,-,-,-,-,2,,v South Africa,Jaipur,21 Feb 2010,ODI # 2961
21,DNB,-,-,-,-,-,2,,v South Africa,Gwalior,24 Feb 2010,ODI # 2962
22,2.0,0,11,0,5.50,6,1,,v South Africa,Ahmedabad,27 Feb 2010,ODI # 2963
23,DNB,-,-,-,-,-,2,,v Zimbabwe,Bulawayo,28 May 2010,ODI # 2981
24,DNB,-,-,-,-,-,1,,v Sri Lanka,Bulawayo,30 May 2010,ODI # 2983
25,DNB,-,-,-,-,-,2,,v Zimbabwe,Harare,3 Jun 2010,ODI # 2986
26,DNB,-,-,-,-,-,2,,v Sri Lanka,Harare,5 Jun 2010,ODI # 2988
27,DNB,-,-,-,-,-,1,,v Bangladesh,Dambulla,16 Jun 2010,ODI # 2993
28,DNB,-,-,-,-,-,1,,v Pakistan,Dambulla,19 Jun 2010,ODI # 2996
29,DNB,-,-,-,-,-,2,,v Sri Lanka,Dambulla,22 Jun 2010,ODI # 2999
30,3.0,0,16,0,5.33,5,2,,v Sri Lanka,Dambulla,24 Jun 2010,ODI # 3001
31,DNB,-,-,-,-,-,1,,v Sri Lanka,Dambulla,16 Aug 2010,ODI # 3032
32,DNB,-,-,-,-,-,2,,v New Zealand,Dambulla,25 Aug 2010,ODI # 3039
33,DNB,-,-,-,-,-,1,,v Sri Lanka,Dambulla,28 Aug 2010,ODI # 3040
34,DNB,-,-,-,-,-,1,,v Australia,Visakhapatnam,20 Oct 2010,ODI # 3060
35,DNB,-,-,-,-,-,2,,v New Zealand,Guwahati,28 Nov 2010,ODI # 3070
36,DNB,-,-,-,-,-,1,,v New Zealand,Jaipur,1 Dec 2010,ODI # 3072
37,DNB,-,-,-,-,-,1,,v New Zealand,Vadodara,4 Dec 2010,ODI # 3074
